Identifier,Name,Description,Organisational Structure,Primary Activity,Activities,Street Address,Locality,Region,Postcode,Country ID,Territory ID,Website,Phone,Email,Twitter,Facebook,Companies House Number,Qualifiers,Membership Type,Latitude,Longitude,Geo Container,Geo Container Latitude,Geo Container Longitude,Sector,SIC Section,SIC Code,Ownership Classification,Legal Form,Legal Form Subcategory 1,Legal Form Subcategory 1,UK Nation,Type of Organisation,Registered Status,Registered Number,Registrar,Incorporation Date,Dissolved Date,Organisation Name,WC Legal Form
R005158,Sunshine Care CIC,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,501A Oldham Road,Rochdale,Rochdale,OL16 4TF,GB,,,,,,,07008268,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88990,Workers,Community Interest Company,Limited by Guarantee,"",England,Co-operative,Live,07008268,Companies House,3/9/2009,"",Sunshine Care (Rochdale) C.I.C,Limited by Guarantee
R002442,Tees Music Alliance (Green Dragon Studios),,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"Calvin House
Green Dragon Yard",Stockton-on-Tees,Stockton-on-Tees,TS18 1AE,GB,,http://www.teesmusicalliance.org.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Arts and Culture,"",90040,Workers,Society,Registered Society,BFC,England,Co-operative,Live,25169R,FCA,3/3/1986,"",Tees Music Alliance Limited,Co-operative Society
R006394,Webarchitects,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"Unit 12 Harland Works
68a John Street",Sheffield,Sheffield,S2 4QU,GB,,http://www.webarchitects.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication","",62020,Workers,Society,Registered Society,BFC,England,Co-operative,Live,31305R,FCA,7/7/2011,"",Webarch Co-operative Limited,Co-operative Society
R007702,West Highland Free Press,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"Unit 1B
Pairc Nan Craobh
Broadford",Isle of Skye,Highland,IV49 9AP,GB,,http://www.whfp.com,,,,,SC049850,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication",Information and Communication,58130,Workers,Company,PLC,"",Scotland,Co-operative,Live,SC049850,Companies House,24/1/1972,"",West Highland Publishing Company Limited,PLC
R001715,City Design Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"4 North Court
Off St Vincent Place",Glasgow,"Glasgow, City of",G1 2DP,GB,,http://www.citydesign.coop,,,,,SC094759,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71112,Workers,Company,Limited by Guarantee,"",Scotland,Co-operative,Live,SC094759,Companies House,19/8/1985,"",City Design Co-operative Limited,Limited by Guarantee
R007704,Woollard And Henry,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,"Stoneywood Park
Dyce",Aberdeen,Aberdeen City,AB21 7DZ,GB,,http://www.woollardandhenry.com/,,,,,SC036131,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,28950,Workers,Company,PLC,"",Scotland,Co-operative,Live,SC036131,Companies House,21/2/1961,"",Woollard & Henry Limited,PLC
R001718,Sunshine Nursery,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"Unit 4 Newark Road South
Eastfield Business Park",Glenrothes,Fife,KY7 4NS,GB,,http://www.sunshinenurseryfife.co.uk/,,,,,SC125072,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88910,Workers,Company,PLC,"",Scotland,Co-operative,Live,SC125072,Companies House,17/5/1990,"",Sunshine Nursery Limited,PLC
R001734,Assist Architects,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,94 Kerr Street,Glasgow,"Glasgow, City of",G40 2QP,GB,,http://www.assistdesign.co.uk,,,,,SC084543,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71111,Workers,Company,Limited by Guarantee,"",Scotland,Co-operative,Live,SC084543,Companies House,9/9/1983,"",Assist Architects Limited,Limited by Guarantee
R002901,Just Fair Trade,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,36-38 Silver Street,Leicester,Leicester,LE1 5ET,GB,,http://www.justfairtrade.com,,,,,04054074,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47190,Workers,Company,Limited by Shares,"",England,Co-operative,Live,04054074,Companies House,16/8/2000,"",Just Fair Trade Limited,Limited by Shares
R002908,Shepshed Carers,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"Suite 1B, Field House
19-23 Field Street
Shepshed",Loughborough,Leicestershire,LE12 9AL,GB,,http://www.shepshedcarers.co.uk/,,,,,02897384,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88100,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,02897384,Companies House,11/2/1994,"",Shepshed Carers Limited,Limited by Guarantee
R009708,Custom House Workers' Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,"PEACH Office
Ascension Church
Baxter Rd
Newham",London,Newham,E16 3HJ,GB,,http://customclean.london/,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Housing,Administrative and Support Services,81210,Workers,Society,Registered Society,BFC,England,Co-operative,Live,32429R,FCA,2/7/2014,"",Custom House Workers' Co-operative Limited,Co-operative Society
R005171,Honey Architecture LLP,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS115,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"c/o JL Winder & Co Accountants
125 Ramsden Square",Barrow-in-Furness,Cumbria,LA14 1XA,GB,,http://www.h-o-n-e-y.co.uk,,,,,OC349098,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71100,Workers,LLP,"","",England,Co-operative,Live,OC349098,Companies House,30/9/2009,"",Honey Architecture LLP,""
R005177,Renewable Energy Co-operative (R-ECO),,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA70,,8 Benson Place,Oxford,Oxfordshire,OX2 6HQ,GB,,http://www.r-eco.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Other,Construction,43999,Workers,Society,Co-operative Society,"",England,Co-operative,Live,4004,FCA,21/11/2014,"",Renewable Energy Co-operative Limited,Co-operative Society
R005180,V3 Power,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"Lawn Cottage
Wyver Lane",Belper,Derbyshire,DE56 2EF,GB,,http://www.v3power.co.uk,,,,,07053663,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85590,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,07053663,Companies House,22/10/2009,"",V3 Power Limited,Limited by Guarantee
R003521,Nomadic Roots,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS160,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,25 Cunningham Road,Norwich,Norfolk,NR5 8HQ,GB,,,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",72000,Workers,Unincorporated,"","",England,Co-operative,Live,"",Unknown legal form,"","",Nomadic Roots,""
R001756,Charlton Triangle Kids Club,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,776/778 Barking Road,London,Newham,E13 9PJ,GB,,http://www.trianglekids.co.uk,,,,,04733715,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85200,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,04733715,Companies House,14/4/2003,"",Charlton Triangle Kids Club ltd.,Limited by Guarantee
R002482,Trimdon's Little Tykes,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"Trimdon House
Landreth Grove
Trimdon Village",Trimdon,County Durham,TS29 6QH,GB,,http://www.trimdonslittletykesltd.co.uk,,,,,04421850,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88910,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,04421850,Companies House,22/4/2002,"",Trimdon's Little Tykes Ltd,Limited by Guarantee
R007121,Belfast Cleaning Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,"Two Spires Centre
155 Northumberland Street",Belfast,Belfast,BT13 2JF,GB,,http://www.belfastcleaningsociety.com/,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Housing,Administrative and Support Services,81200,Workers,Society,Registered Society,BFC,Northern Ireland,Co-operative,Live,396IP,FCA,3/5/2012,"",Belfast Cleaning Co-operative Limited,Co-operative Society
R002923,Energy Development Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA230,,"108 Lackford Close
Brundall",Norwich,Norfolk,NR13 5NL,GB,,http://www.solar-wind.co.uk,,,,,03522841,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Energy and Environment,"Electricity, Gas, Steam and Air Con",35100,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03522841,Companies House,6/3/1998,"",Energy Development Co-operative Limited,Limited by Guarantee
R007720,Voluntary Action Harrow,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"The Lodge
64 Pinner Road",Harrow,Harrow,HA1 4HZ,GB,,http://www.voluntaryactionharrow.org.uk,,,,,07554530,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85520,Workers,Community Interest Company,Limited by Guarantee,"",England,Co-operative,Live,07554530,Companies House,7/3/2011,"",Voluntary Action Harrow C.I.C.,Limited by Guarantee
R007723,Inside Track Employment CIC,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,14 Beechcroft Grove,Bolton,Bolton,BL2 6EZ,GB,,http://www.insidetrackemployment.org.uk,,,,,06715324,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Arts and Culture,"",90020,Workers,Community Interest Company,Limited by Shares,"",England,Co-operative,Live,06715324,Companies House,3/10/2008,"",Inside Track (Employment) Community Interest Company,Limited by Shares
R007726,The New Leaf Co-op,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,23 Argyle Place,Edinburgh,City of Edinburgh,EH9 1JJ,GB,,http://newleafcoop.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47200,Workers,Society,Registered Society,BFC,Scotland,Co-operative,Live,2757RS,FCA,29/6/2012,"",Edinburgh Wholefood Co-operative Limited,Co-operative Society
R008958,Fruit Works Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,"3 Lilac Grove
Victoria Park Avenue
Kirkstall",Leeds,Leeds,LS5 3AG,GB,,https://fruitworks.org.uk,,,,,08562208,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,10890,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,08562208,Companies House,10/6/2013,"",Woodhouse Community Growers Ltd,Limited by Guarantee
