Identifier,Name,Description,Organisational Structure,Primary Activity,Activities,Street Address,Locality,Region,Postcode,Country ID,Territory ID,Website,Phone,Email,Twitter,Facebook,Companies House Number,Qualifiers,Membership Type,Latitude,Longitude,Geo Container,Geo Container Latitude,Geo Container Longitude,Sector,SIC Section,SIC Code,Ownership Classification,Legal Form,Legal Form Subcategory 1,Legal Form Subcategory 1,UK Nation,Type of Organisation,Registered Status,Registered Number,Registrar,Incorporation Date,Dissolved Date,Organisation Name,WC Legal Form
R000168,Hackney Co-operative Developments (HCD),"Hackney Co-operative Developments (HCD) is a not for profit voluntary sector organisation with over 20 years experience delivering Central Government and European Union regeneration programmes. HCD provides premises for over 50 local businesses, voluntary organisations and community groups, and has provided development support, business advice and training to hundreds of local people every year.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,62 Beechwood Road,London,Hackney,E8 3DY,GB,,http://www.hcd.coop/,,,,,01673378,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70220,Workers,Community Interest Company,,,England,,Live,01673378,Companies House,1982-10-21,,Hackney Co-operative Developments Community Interest Company,
R001734,Assist Architects,Assist Architects are a co-operatively run Architectural Practice with extensive experience in both New Build and Refurbishment housing projects providing a successful participatory design service to both community led organisations and the private sector.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,94 Kerr Street,Glasgow,"Glasgow, City of",G40 2QP,GB,,http://www.assistdesign.co.uk,,,,,SC084543,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71111,Workers,Company,,,Scotland,,Live,SC084543,Companies House,1983-09-09,,Assist Architects Limited,
R002153,Millrace Furniture Restoration Co-operative,"A workers co-operative and social firm, working with people recovering from mental health problems, offering a range of services to the public, including furniture restoration, french polishing and picture framing.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,"Moulsham Mill
Parkway",Chelmsford,Essex,CM2 7PX,GB,,http://www.millracefurniture.co.uk,,,,,03038603,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,31090,Workers,Company,,,England,,Live,03038603,Companies House,1995-03-28,,Millrace Furniture Restoration Co-operative Ltd,
R002155,Notts Home Care,"Notts Homecare Ltd is a not-for-profit care co-operative, offering practical care services to care for your loved one. Because we’re not focused on making a profit, our services are extremely reasonable and affordable, with no extras and no minimum order for us to help you. In fact, if you only need 15 minutes help, that’s all you need to pay for! And we don’t charge for travel time costs, unlike other agencies.

We’re focused on you and what your family needs to make life easier for everyone, and we provide services to keep your loved one in the familiar surroundings of their own home. We’re a small company and we’re on first name terms with every client, enabling us to understand their situation and provide exactly what they need.

Our friendly team are professional, well-trained and take pride in providing an excellent, personalised service for all of our clients.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"The Counting House
Forest Road
New Ollerton",Newark,Nottinghamshire,NG22 9QS,GB,,http://www.nottshomecareltd.co.uk,,,,,03056359,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88100,Workers,Company,,,England,,Live,03056359,Companies House,1995-05-15,,Notts Home Care Limited,
R002157,Environmental Conservation Co-operative (ECCO),"A workers co-operative. The Environmental Conservation Co-operative (ECCO) was incorporated in June 1995, under the auspices of Harlow Co-operative Development Agency.  Offers complementary areas of expertise include: environmental education, energy efficiency and business and marketing skills.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA230,,"Ecco St. James Centre
East Road",Harlow,Essex,CM20 2SX,GB,,http://www.ecco.org.uk,,,,,03064585,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Energy and Environment,Water Supply; Sewerage and Waste,38110,Workers,Company,,,England,,Live,03064585,Companies House,1995-06-05,,Environmental Conservation Co-operative ltd.,
R002402,Otherwords,A workers co-operative,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Unit 3, Business Development Centre
7-15 Greatorex Street",London,Tower Hamlets,E1 5NF,GB,,,,,,,03726539,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70229,Workers,Company,,,England,,Live,03726539,Companies House,1999-03-04,,Otherwords Ltd.,
R001756,Charlton Triangle Kids Club,Charlton Triangle Kids Club is a workers co-operative providing childcare services.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,776/778 Barking Road,London,Newham,E13 9PJ,GB,,http://www.trianglekids.co.uk,,,,,04733715,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85200,Workers,Company,,,England,,Live,04733715,Companies House,2003-04-14,,Charlton Triangle Kids Club ltd.,
R002183,Redress,"ReDress is a worker co-operative that promotes Social Firm Principles & Environmental Action. ReDress Reduces, Reuses and Recycles textiles whilst enhancing choices and employment opportunities with and for people with disabilities. ReDress creates unique new creations fashioned from Recycled materials and textiles salvaged from assorted disposal routes. Donations are appreciated. We also do repairs, refitting and fancy dress.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,"Earth Balance
West Sleekburn Farm
Bomarsund",Bedlington,Northumberland,NE22 7AD,GB,,http://www.redressltd.co.uk,,,,,03401377,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,14190,Workers,Company,,,England,,Live,03401377,Companies House,1997-07-10,,Redress Limited,
R002482,Trimdon's Little Tykes,"Trimdon's Little Tykes provides a homely, warm and safe environment for up to 22 children between the ages of 0-8 years.

We are a small business run as a workers co-operative. All directors manage the business and make decisions jointly. All directors are Early Years Practitioners and very hands on. All of our practitioners are qualified at Level 3 or above with a passionate approach to children's learning and development. All staff hold current Paediatric First Aid certificates and have had a Disclosure and Barring Services (DBS) check carried out on them.

Our aim is to provide unique learning experiences and a high level of care at all times. The nursery is split into two rooms depending on age group and stage of development and each room has access to our enclosed outdoor environment. We follow the Early Years Foundation Stage (EYFS) which covers children's development and learning from birth to five years. The EYFS is designed to deliver improved outcomes for all children, across every area of learning and development.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"Trimdon House
Landreth Grove
Trimdon Village",Trimdon,County Durham,TS29 6QH,GB,,http://www.trimdonslittletykesltd.co.uk,,,,,04421850,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88910,Workers,Company,,,England,,Live,04421850,Companies House,2002-04-22,,Trimdon's Little Tykes Ltd,
R002406,News from Nowhere Bookshop,"News From Nowhere Radical & Community Bookshop has served Liverpool, the North West, and beyond, with the best in radical literature since 1974.  It's run on a not-for-profit basis by News From Nowhere Co-operative - a women's collective of five permanent, paid bookshop workers. Very often we have volunteer help too.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,96 Bold Street,Liverpool,Liverpool,L1 4HY,GB,,http://www.newsfromnowhere.org.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47000,Workers,Society,,,England,,Live,24524R,FCA,1984-06-19,,News from Nowhere Co-operative Limited,
R002407,Latitude Consortium,"A workers co-operatve.  Training & development consultancy specialising in public & social welfare law - equality and diversity, community care, immigration, employment discrimination, social security etc.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,60 Tunnel Road,Tunbridge Wells,Kent,TN1 2BU,GB,,http://www.latitudeconsortium.com,,,,,03799056,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70229,Workers,Company,,,England,,Live,03799056,Companies House,1999-07-01,,Latitude Consortium Ltd.,
R002408,Breadline Co-operative,Cafe and bakery. A workers co-operative.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"Unit 4, Beanhill Shops
Dodkin
Beanhill",Milton Keynes,Milton Keynes,MK6 4LP,GB,,,,,,,03024598,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47240,Workers,Company,,,England,,Live,03024598,Companies House,1995-02-21,,Breadline Co-operative Ltd,
R002410,Letterbox Library,"Letterbox Library is a non-profit driven workers co-operative. It was started eighteen years ago by two single mothers operating from home, who wished to provide multicultural and non-sexist books for children - offering essential topics and titles which were sadly neglected by mainstream booksellers. Over the years we have expanded but still hold firm to our co-operative values of self-help, self-responsibility, democracy, equality, equity and solidarity. Our books can be found within educational institutions, libraries and homes throughout the UK and abroad. Customers come to us primarily for our unique book selection service.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"c/o Letterbox Library
Unit 151 Stratford Workshops
Burford Road",Stratford,Newham,E15 2SP,GB,,http://www.letterboxlibrary.com,,,,,01754656,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47910,Workers,Company,,,England,,Live,01754656,Companies House,1983-09-20,,Childrens Books Limited,
R002411,Surface Gallery,"A workers co-operatve.  Surface Gallery is a co-operative volunteer-run independent gallery in the centre of Nottingham. We have slots reserved each year for International, Midlands-Artists, Student, and Community-based shows, and Open shows which bring together artists working in similar media. We also run the very popular Postcard Show each year (for postcard-sized work) for which every piece of work submitted is exhibited, and a Volunteer Show as a reward for the work done by the volunteers.

Surface Gallery offers exhibition space to local, national and international artists of all disciplines. It aims to raise awareness of the visual arts in Nottingham and to offer the public the opportunity to engage with work of a high professional standard. We hope to forge links with the high population of artists in the region and to offer the services they desire. Alongside this the gallery will continue to support emerging artists and intends to allocate a specific period for student exhibit",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,16 Southwell Road,Nottingham,Nottingham,NG1 1DL,GB,,http://www.surfacegallery.org,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Arts and Culture,"Arts, Entertainment and Recreation",90030,Workers,Society,,,England,,Live,28993R,FCA,1999-10-07,,Surface Gallery Limited,
R002417,Abbey Road Kids Club,"A workers co-operative.

Abbey Road Kids Club Ltd was registered in 2000 and is on the Early Years Register and the compulsory and voluntary parts of the Childcare Register. It operates from rooms within Abbey Road Primary School in Edwalton. There is an enclosed outdoor play area adjacent to the building. The club employs 15 members of childcare staff, eight of whom hold appropriate early years qualifications at level 3.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"8 Cragmoor Road
Burton Joyce",Nottingham,Nottinghamshire,NG14 5AR,GB,,,,,,,03929208,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88910,Workers,Company,,,England,,Live,03929208,Companies House,2000-02-18,,Abbey Road Kids Club Ltd.,
R002418,Organic North Wholesalers,"Organic North Wholesalers is a workers co-operative formed by a group of northern organic businesses in the early 1990s and remains member owned. Despite our relatively low profile, we have supplied millions of £s worth of organic vegetables to box schemes for many years. We are the longest established and largest organic fruit and vegetable wholesaler in Greater Manchester, the North West and beyond, supplying businesses in Lancashire, Yorkshire, Derbyshire, Cumbria and Scotland. We are based at the Smithfield Wholesale Market in East Manchester, a hub connected by chilled overnight transport to all the horticultural areas of the UK. Our registered name is Organic 2000 but we feel that our trading name, Organic North Wholesalers, describes our business much better.

Our aims are to support regional growers wherever possible and the independent organic movement. Organic North Wholesalers has always been Soil Association registered and has close links with organic growers across the North and wider UK, supported by European and global imports when absolutely necessary. We pride ourselves on paying growers on time and try to promote seasonal surpluses.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"Unit D27
New Smithfield Market
Openshaw",Manchester,Manchester,M11 2WJ,GB,,http://www.organicnorth.co.uk/,,,,,03337934,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,46310,Workers,Company,,,England,,Live,03337934,Companies House,1997-03-21,,Organic 2000 Ltd,
R002419,Young People's Wellbeing Service,"Tadic is run by a team of Doctors, Counsellors, Nurses and Receptionists seeking to improve the health of young people.

A workers co-operative.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"28 Lower Northam Road
Hedge End",Southampton,Hampshire,SO30 4FQ,GB,,http://www.teenagedrop-inhedgeend.co.uk,,,,,03975948,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,86900,Workers,Company,,,England,,Live,03975948,Companies House,2000-04-18,,Young People's Wellbeing Service ltd.,
R002424,Leeds Environmental Design Associates (LEDA),"A workers co-operative. LEDA integrates architectural and environmental design to create sustainable buildings -  All the specialist requirements are brought into the process from the beginning.

Our team of designers consists of architects, energy consultants and environmental services engineers who are dedicated to achieving great buildings that respect the environment and are a joy to use.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Micklethwaite House
70 Cross Green Lane",Leeds,Leeds,LS9 0DG,GB,,http://www.leda.coop,,,,,04112852,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71111,Workers,Company,,,England,,Live,04112852,Companies House,2000-11-23,,Leeds Environmental Design Associates Limited,
R001787,Greencity Wholefoods,"A workers co-operative. The Scottish Wholefood Collective Warehouse trading as GreenCity Wholefoods workers' co-operative aims to create a non-exploitative workplace which takes into consideration the interests of the workers, the community and the environment as a whole. We aim to maintain policies which do not discriminate on the basis of sex, race or age and a management structure no based on hierarchy, allowing all members equal access to the decision making procedure. It is therefore important to us that the sharing of skills and the rotation of jobs is encouraged and that our wage structure regards all contributions as equal. We like to encourage local producers and are committed to buying ORGANIC produce where possible. Our policy is to promote better alternatives in terms of health and diet also through the food chain i.e. foods committed to getting a fair deal for the people who produce the food we sell and has a policy of boycotting goods from these countries whose people hav",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,23 Fleming Street,Glasgow,"Glasgow, City of",G31 1PQ,GB,,http://www.greencity.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,46000,Workers,Society,,,Scotland,,Live,1951RS,FCA,1978-06-06,,Scottish Wholefoods Collective Warehouse Limited,
R001789,Upstream,"Upstream is a design and print workers co-operative and print agency, which specialises in environmentally friendly printing.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA90,,No. 2 Accommodation Road,London,Barnet,NW11 8ED,GB,,http://www.upstream.coop,,,,,01781150,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Manufacturing,Manufacturing,18129,Workers,Company,,,England,,Live,01781150,Companies House,1983-12-29,,Upstream Limited,
R002442,Tees Music Alliance (Green Dragon Studios),A workers co-operative.  TMA is a newly formed alliance between two long established Tees-based music collectives - Middlesbrough Music Collective and Stockton Music & Arts Collective.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"Calvin House
Green Dragon Yard",Stockton-on-Tees,Stockton-on-Tees,TS18 1AE,GB,,http://www.teesmusicalliance.org.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Arts and Culture,"Arts, Entertainment and Recreation",90040,Workers,Society,,,England,,Live,25169R,FCA,1986-03-03,,Tees Music Alliance Limited,
R001791,Alpha Communication,"A workers co-operative providing multimedia design  with additional editorial and training services. Print publications, websites, displays and exhibition stands. Comprehensive editorial, production and distribution service for magazines and newsletters.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Office 6
6-8 Charlotte Square",Newcastle,Newcastle upon Tyne,NE1 4XF,GB,,http://www.alpha.coop,,,,,02187790,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",73110,Workers,Company,,,England,,Live,02187790,Companies House,1987-11-03,,Alpha Communication Limited,
R002001,CAG Consultants,"CAG Consultants is an employee-owned business providing support, policy advice and training in sustainability, regeneration and stakeholder involvement for government departments, local authorities, public agencies, the NHS, and regeneration and community planning partnerships in both urban and rural areas.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS115,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,8 Blackstock Mews,London,Islington,N4 2BT,GB,,http://www.cagconsultants.co.uk,,,,,OC374324,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70229,Workers,LLP,,,England,,Live,OC374324,Companies House,2012-04-13,,CAG Consult LLP,
R002002,Calverts,"A workers co-operative providing professional graphic and publications design. High quality commercial colour print. Specialists in recycled papers and environmentally friendly print.  Calverts is a common ownership co-op specialising in graphic design for print or web, and state-of-the-art colour printing. Founded in 1977, Calverts is an Inner City 100 award winner, in recognition of its track record as a progressive and growing company.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"9-10 The Oval
Bethnal Green",London,Tower Hamlets,E2 9DT,GB,,http://www.calverts.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication","Professional, Scientific and Technical",74100,Workers,Society,,,England,,Live,21946R,FCA,1977-08-03,,Calvert's North Star Press Limited,
