Table,Name,orgnasationtype,Region,Country,City,Latitude,Longitude,Size,Type,Sector,Address,Description,Additional Details,Website,Email,Random
Support to Young Co-operators,Cooperativa La Cruz Azul,Cooperative,Americas,Mexico,Mexico,23.634501,-102.552784,,,Cooperative,"Anillo Periférico Sur 5550-5, Colonia Pedregal de Carrasco, Delegación Coyoacán, C.P. 04700 Mexico City, Mexico",Productora de cemento inicia su historia como marca en 1881 y se inicia como cooperativa en 1931,Segunda cementera más grande de Mexico con varias empresas de desarrollo horizontal y parte de un núcleo cooperativo,cementocruzazul.com.mx,angelicasoberanesg@cruzazul.com.mx,
Support to Young Co-operators,Coopavra Ltda - Fecopar Ltda.,Cooperative,Americas,Paraguay,Asuncion.,-25.2637399,-57.575926,,,Cooperative,"Avda de la Victoria Nº 2894 esquina incienso, Barrio San Pablo, Asuncion - Paraguay","Cooperativa de vendedores de repuestos y afines, con 26 años de vida institucional, con 2.500 socios activos, sede central propia, un activo de 15.000.000.000.","cooperativa de ahorro y crédito principalmente, capacitación permanente de sus socios en finanzas personales y servicios sociales",www.coopavra.coop.py,info@coopavra.coop.py,
Support to Young Co-operators,Cooperative de ser Vicios Múltiples del Sector Educatión del Departmento de Lambayeque,Cooperative,Americas,Peru,Chiclayo,-6.7765974,-79.8442978,,,Cooperative,"Calle Tarata # 169, Chiclayo, Peru","SOMOS UNA COOPERATIVA DE PROFESORES, NOS FINANCIAMOS CON APORTES DE NUESTROS SALARIOS QUE RECIBIMOS, POR LO QUE NOS ENCONTRAMOS UN POCO LIMITADOS.",HEMOS IMPLEMENTADO UNA TIENDA DE CONSUMO DE PRODUCTOS DE PRIMERA NECESIDAD Y BRINDAMOS PRÉSTAMOS EN EFECTIVO A NUESTROS SOCIOS.,http://cosemselam.blogspot.com,CADMINISTRACION@COSEMSELAM.COM,
Support to Young Co-operators,Caja Popular Mexicana SC DE AP DE RL DE CV,Cooperative,Americas,México,León,21.1250077,-101.6859605,,,Cooperative,"Ignacio Altamirano 407, San Juan de Dios, León, Guanajuato, CP 37004 Mexico",Cooperativa de ahorro y crédito.,"Consta de 9 programas de educación cooperativa denominado SEDUCOOP Sistema de Educación Cooperativa: Un de ellos es Generacción que a su vez tiene 5 programas: aprendiz cooperativo (6 a 13 años), #joven (14 a 17 años), Comités juveniles cooperativos (14 a 17 años), Juventud Cooperadora (18 a 29 años) y Comité Nacional Sinergia (18 a 29 años)",www.cpm.coop,ernesto_guevara@cpm.coop,
Support to Young Co-operators,Co-Ooptkam Company Ltd.,Cooperative,Africa,Kenya,Nairobi,-1.2920659,36.8219462,,,Cooperative,"PO BOX 24814-00502, Nairobi, Kenya","Co-optkam Company is a youth led company registered in Kenya that offers capacity building to the co-operative sector through consultancy, management and training. The directors of the company are youths aged 26 years and below and are former students of The Co-oerative University of Kenya, trained to run and manage co-operatives.",,www.co-optkamconsult.co.ke,info@co-optkamconsult.co.ke,
Support to Young Co-operators,Motswedi SACCOS,Cooperative federation or union,Africa,Botswana,Gaborone,-24.6282079,25.9231471,,,Cooperative federation or union,"P. O. Box 81027 Gaborone, Botswana",More WELCOME TO MOTSWEDI SACCOS Motswedi is a Savings and Credit Cooperative Society registered in Botswana under the Cooperative Societies Act No. 5 of 1989. Society was formed primarily to create a pool of savings and enable the members access to credit at affordable interest rates.,,http://www.motswedisaccos.co.bw,info@motswedisaccos.co.bw,
Support to Young Co-operators,Alberta Community and Cooperative Association,Cooperative federation or union,Americas,Canada,Stony Plain,53.5279314,-114.001928,,,Cooperative federation or union,"Alberta Community and Co-operative Association #201, 4405 – 50 Street Stony Plain, AB T7Z 1L5 Canada","The Alberta Community and Co-operative Association is a not-for-profit co-operative working for the education, development and promotion of co-operatives across Alberta. Our membership is made up of renowned national co-operatives and smaller community-minded co-operatives and organizations across all industries. Our board of directors is elected from our membership and represents many sectors important to Alberta’s communities including (but not limited to) agriculture, utilities, finance, education, housing, retail and more.","We host the largest co-operative youth leadership program in Canada in the summer of each year. To date, more than 45,000 young people have been involved, with 4 programs for different age groups running for 5 days each.",www.acca.events,info@acca.coop,
Support to Young Co-operators,BC Co-operative Association,Cooperative federation or union,Americas,Canada,Vancouver,49.2827291,-123.1207375,,,Cooperative federation or union,"BC Co-op Association #503 - 535 Thurlow Street Vancouver, BC V6E 3L2 Canada","The BC Co-op Association (BCCA) is the knowledge and resource centre for co-ops in BC, where co-ops and credit unions come together to collaborate, network, get support, learn, and contribute knowledge to shape BC’s co-op movement.",,bcca.coop,general@bcca.coop,
Support to Young Co-operators,Cyprus Turkish Co-operative Central Bank Ltd.,Cooperative federation or union,Europe,Cyprus,Nicosia,35.1855659,33.3822764,,,Cooperative federation or union,49 Mahmut Paşa Sokak,Our institution is a cooperative bank and a member of the ICA.,Our bank is in a leading position of the financial sektor in northern Cyprus. We are the main Organization of 200 member subcooperatives.,www.koopbank.com,info@koopbank.com,
Support to Young Co-operators,Kooperationen,Cooperative federation or union,Europe,Denmark,Copenhagen,55.6760968,12.5683372,,,Cooperative federation or union,"Reventlowsgade 14, 2., 1651 Copenhagen V, Denmark","Kooperationen is the Danish Cooperative Employers’ Organisation with a network of 92 member companies and 14.000 employees. As the apex organization for Danish co-operatives, we promote the co-operative alternative across many sectors of the economy. Established in 1922, Kooperationen provides professional legal advice and counselling within areas such as employment law, company law and construction law. Our members represent a wide range of business fields such as the banking and insurance sector to craftsman and construction businesses, conference centres and museums. Furthermore we offer high quality professional legal and governance advice and guidance to new co-operative start-ups as well as to established co-operatives. As a cooperative employers’ organisation, we play an active role in the International Cooperative Alliance (ICA) and in Cooperatives Europe. Led by our co-operative values and principles we aim to bring together all those with a passion and interest in co-operative action and we run our business solely for the benefit of our members. And that is precisely what makes us a bit different from other conventional employers’ organisations in Denmark. Kooperationen is based in Copenhagen, Denmark.",,www.kooperationen.dk,kontakt@kooperationen.dk,
Support to Young Co-operators,Ghana Cooperatives Council,Cooperative federation or union,Africa,Ghana,Accra,5.6037168,-0.1869644,,,Cooperative federation or union,"PO Box GP 4034, Accra, Ghana","Ghana Cooperatives Council is the apex body for all Cooperatives in the country. Association comes together to form this cooperative. Its main objective is to be the mouthpiece for Cooperatives in terms of national policies, advocacy and capacity building",,http://www.melr.gov.gh/ghana-co-operatives-council/,gacopco@yahoo.com,
Support to Young Co-operators,Ghana Co-operative Agricultural Producers and Marketing Association Ltd,Cooperative federation or union,Africa,Ghana,Accra,5.6037168,-0.1869644,,,Cooperative federation or union,"No 40, Kwame Nkrumah Avenue, 6th floor, Accra, Ghana","It is a federation of Farmer co-operative, marketers and fish mongers",,,atsu.agricoops@gmail.com,
Support to Young Co-operators,ConfCooperative,Cooperative federation or union,Europe,Italy,Rome,41.9027835,12.4963655,,,Cooperative federation or union,"Via Torino, 146, Rome, Italy",n/a,,http://www.confcooperative.it/,confcooperative@confcooperative.it,
Support to Young Co-operators,KUSCCO LTD,Cooperative federation or union,Africa,Kenya,Nairobi,-1.2920659,36.8219462,,,Cooperative federation or union,"P.O BOX28403-00200 Nairobi, Kenya",The Kenya union of savings & credit cooperatives ltd (KUSCCO ltd)commits to consistently promote SACCOs through advocacy and provision of quality technical and financial products that exceed the members’ expectations.,,www.kuscco.com,hilda@kuscco.com,
Support to Young Co-operators,iCOOP,Cooperative federation or union,Asia-Pacific,Korea,Seoul,37.566535,126.9779692,,,Cooperative federation or union,"1, Yeongdeungpo-ro 62-gil, Yeongdeungpo-gu, Seoul, Republic of Korea","iCOOP is a network of consumer co-ops, producers' co-op and workers' co-op and supports social economic organizations.",,icoop.coop,icoop@icoop.coop,
Support to Young Co-operators,Mauritius Co-operative AllianceLimited,Cooperative federation or union,Africa,Mauritius,Port Louis,-20.1608912,57.5012222,,,Cooperative federation or union,"1st Floor, Devi House, Dr. A Perdreau Street, Port Louis, Mauritius",It is the apex organisation regrouping federations of different types of activities operating in the country,,http://mcafcoop.com/files/index.php?lang=1,mcal@myt.mu,
Support to Young Co-operators,Mongolian Co-operative Training and Information Center, and National Co-operative Alliance,Cooperative federation or union,Asia-Pacific,Mongolia,Ulaanbaatar,47.8863988,106.9057439,,,Cooperative federation or union,"N Tower Buildeing door no. 904, Sukhbaatar district 8th khoroo 14193 Ulaanbaatar, Mongolia",Mission: To contribute to sustainable socio-economic development of the country through capacity building of co-operative enterprises that practice co-operative values and principles. Activities: Capacity building projects and training programs for co-ops and and small businesses,Over 40 projects and programs have been implemented as partnering with national and international organizations to build sustainable livelihoods and reduce poverty,"https://www.facebook.com/cooperativesmongolia/; http://workcentral.mn/home Workcentral Mongolia is the Mongolian Startup hub. Workcentral Mongolia is a vibrant, supportive co-working community",mctic@mongolia.coop
Support to Young Co-operators,VICTO National Co-operative Federation & Development Center,Cooperative federation or union,Asia-Pacific,Philippines,Cebu City,10.3156992,123.8854366,,,Cooperative federation or union,"#59, 1st Street, Beverly Hills, Lahug, Cebu City, Philippines 6000","A 48 year old, nationwide, secondary federation of co-operatives specialized in capacity building.",,www.victonational.coop,jcdetablan@victonational.coop,
Support to Young Co-operators,National Auditing Union of Workers' Cooperatives,Cooperative federation or union,Europe,Poland,Warsaw,52.2296756,21.0122287,,,Cooperative federation or union,"00-680 Warszawa,
ul. Żurawia 47","NAUWC is a voluntary and self-governing organisation, which associates labour cooperatives and cooperative organisations in Poland. It was established in Warsaw on 14th November 1991. It has the status of a legal person and acts pursuant to the Cooperative Law of 16th September 1982, the amendment of this Law of 7th July and several other laws as well as on the basis of its own Articles of Association. NAUWC is a signatory of the main self-governing body of the Polish cooperative movement - the National Cooperative Council, in which it has 13% of seats and the following positions: Vice-President of the Management Board, Chairman of the Auditing Commission and Vice-Chairman of the Auditing Commission and Economic and Legal Commission. NAUWC is a member of ICA, CICOPA; and of CECOP. The President of the Management Board of the NAUWC is the member of CECOP Board and CICOPA Executive Committee. NAUWC has received the highest cooperative decoration in Poland ""For Cooperative Merits"", awarded by the National Cooperative Council in 1999. NAUWC awards especially meritorious cooperatives and their members with Honorary Distinctions ""For Labour Cooperative Movement Merits"" and ""Person of Merits for Labour Cooperative Movement"". NAUWC has been publishing bimonthly ""Information Bulletin of the National Auditing Union of Workers’ Co-operatives"" since 1992. The Bulletin is directed to the self-government organs of workers’ cooperatives, inspectors and certified accountants/auditors of the workers’ cooperative movement, universities and scientific & research institutions which study the cooperative movement issues.",,http://www.zlsp.org.pl/en/,sekretariat@zlsp.org.pl,
Support to Young Co-operators,"Link Cooperatives International, CRL",Cooperative federation or union,Europe,Portugal,Porto,41.1579438,-8.6291053,,,Cooperative federation or union,"Rua de S. Roque da Lameira nº 1351 4350-314 Porto, Portugal","Mission: Connect and promote the dialogue and the active involvement of national and international cooperatives in the exchange of knowledge, ideas and talents for the regeneration of sociocultural values and emerging needs of a changing society.","Link Cooperatives International, CRL (Link) is a cooperative start-up based on the commitments of ""Co-ops for 2030"" program. Good Health and Well-Being (Objective 3); Sustainable Cities and Communities (Objective 11); Responsible Consumption and Production (Objective 12); Partnerships for The Goals (Objective 17) These are the main goals of our work through the development of services in four distinct areas: Health and Care, Hospitality and Tourism, Business and Entrepreneurship and Sustenable and Green Economy, connected by linked services and intercooperation Values Link will honour the principles of cooperatives stipulated by the International Co-operative Alliance (ICA), aligning all the procedures and future view with the United Nations (UN) and European Union (EU) objectives and regulations. ▪ Voluntary and Free Membership; ▪ Democratic management by members; ▪ Members' economic participation; ▪ Autonomy and independence; ▪ Education, training and information; ▪ Intercooperation; ▪ Community interest. Health&Care Link Cooperatives specific intervention area dedicate to healthcare and wellbeing, LinkHealth&Care. The main objectives are the promotion of healthcare services of our cooperators providers, creation of national and international synergies for innovation, consulting, development, sharing and training. Facilitate, integrate and innovate are the keywords. Homecare Services, Homecare support devices, Accessibility Solutions, Senior Residence are some of our services and projects. Good Health and Well-Being (Objective 3) for the commitments of ""Co-ops for 2030"" program. Hospitality and Tourism Link Cooperatives specific intervention area dedicate to hospitality and Tourism. The main objectives are the promotion of tourism services, creation of national and international synergies for innovation, cultural development and gastronomic experiences. Culture, traditions and social innovation are the keywords. Health Tourism, Historic Routes, International Gastronomy and Street Food World are some of our services and projects. Responsible Consumption and Production (Objective 12) for the commitments of ""Co-ops for 2030"" program. Business and Entrepreneurship Link Cooperatives specific intervention area dedicate to business and entrepreneurship. The main objectives are promotion of business consulting and advisoring in cooperative model, support and development of start-up cooperatives and creation of national and international synergies for cooperative business development and intercooperation. Intercooperation, synergy and cooperatives are the keywords. Consulting & Advisoring, Incubator&Accelerator, Coop Training, Start-up campus and Events are some of our services and projects. Partnerships for The Goals (Objective 17) for the commitments of ""Co-ops for 2030"" program. Sustainable and Green Economy Link Cooperatives specific intervention area dedicate to sustainable and green economy. The main objectives are the promotion sustainable cities and villages, support and development of green projects in agriculture and sustainable products, creation of national and international synergies for intercooperation and environmental projects. Intercooperation, sustainable, environmental and innovation are the keywords. Consulting, Monitoring and Education are some of our services Sustainable Cities and Communities (Objective 11) for the commitments of ""Co-ops for 2030"" program.",http://www.linkcooperatives.com,info@linkcooperatives.com,
Support to Young Co-operators,SNCF,Cooperative federation or union,Asia-Pacific,Singapore,Singapore,1.352083,103.819836,,,Cooperative federation or union,"510 Thomson Road, SLF Building #12-02, Singapore 350135 Singapore",Apex body for co-ops in Singapore,,sncf.coop,senthil_bb87@hotmail.com,
Support to Young Co-operators,Somalia Union Cooperative Movement (UDHIS),Cooperative federation or union,Africa,Somalia,Mogadishu,2.0469343,45.3181623,,,Cooperative federation or union,"UDHIS Building Next Peace Garden, Waberi District , SYL Street . P.O. Box 48-BN -09010, Mogadishu, Somalia","Somalia Union Cooperative Movement (UDHIS) is an Apex organization for all cooperatives in Somalia, It was legal entity, (Law No 40, October 4, 1973 for the Somali Cooperatives and also law No 41, October 8, 1979) which was established Somalia Union Cooperatives Movement (UDHIS). UDHIS are engaging Socio-Economic Production, which plays an important role in the production and economic development of the country.","Summary Profile: Somalia Union Cooperative Movement (UDHIS) Somalia Union Cooperative Movement (UDHIS) is an Apex organization for all cooperatives in Somalia, It was legal entity, (Law No 40, October 4, 1973 for the Somali Cooperatives and also law No 41, October 8, 1979) which was established Somalia Union Cooperatives Movement (UDHIS). UDHIS are engaging Socio-Economic Production, which plays an important role in the production and economic development of the country. It serves as the voice of the cooperatives movement both Nationally and Internationally, UDHIS also serves as the main cooperative policy advisor for the government. Vision A strong and vibrant of the National Federation Cooperatives with empowered members. Mission To provide high quality support services to National Federation/Union/Cooperatives and their members on a sustainable basis. Objectives The objects for which the society is established are to organize and promote the social economic interests of its members. In particular, the Cooperatives shall undertake: 1. Strengthening good governance cooperatives, enhancing social awareness, knowledge, technology and capacity of the Cooperatives members. 2. To ensure personal growth through the introduction of new products and services that will promote the economic base of the members. 3. To ensure the co-operative principle of co-operation among co-operatives in order to promote members’ interests progress of Cooperative through continuous education programs on proper use of technique, reduction of poverty, human dignity and co-operation. Services: 1. Financial services: a) Cooperative saving and credit facility b) Cooperative investment facility 2. Non-Financial services a) Agriculture, and Incense service b) Fishery service c) Livestock and Forestry service d) Industries, Handcrafts service e) Transportation service f) Consumer and Service g) Housing service Basic statistics: Description Quantity Apex of Cooperatives (UDHIS) 1 Federations 8 Unions 88 Cooperatives 2,936",www.udhisom.so,info@udhisom.so,
Support to Young Co-operators,Panyimur Dei Area Cooperative Enterprise Ltd,Cooperative federation or union,Africa,Uganda,Kampala,0.3475964,32.5825197,,,Cooperative federation or union,"P O Box 165, Kampala, Nebbi Uganda",n/a,,https://www.linkedin.com/in/panyimur-cooperative-a70ba3170/?originalSubdomain=ug,padeaco@gmail.com,
Support to Young Co-operators,Uganda Cooperative Alliance,Cooperative federation or union,Africa,Uganda,Kampala,0.3475964,32.5825197,,,Cooperative federation or union,"Plot 47/49, Nkrumah Road P.O. Box 2215, Kampala-Uganda","Uganda Cooperative Alliance (UCA) Ltd is an umbrella organization for all cooperatives in Uganda established in 1961. It serves as the voice of the cooperative movement at both national and international level with a mandate to recommend to government on matters of policy relating to cooperatives arbitration (settlement of disputes) advocate and represent cooperatives interest’s capacity building of cooperators in cooperative business practices provide business skills development support, advisory services and mobilize resources for cooperative movement in Uganda.",,http://uca.co.ug/contact-us/,ucainfocen@uca.co.ug,
Support to Young Co-operators,Co-operatives UK,Cooperative federation or union,Europe,United Kingdom,Manchester,53.4807593,-2.2426305,,,Cooperative federation or union,"Holyoake House, Hannover Street, Manchester M60 0AS UK","Apex body with a mission to grow the cooperative economy through actions that promote, develop and unite co-operative enterprises.",Our work to grow the co-operative economy is underpinned by a National Co-operative Development Strategy.,www.uk.coop,info@uk.coop,
Support to Young Co-operators,International Cooperative and Mutual Insurance Federation (ICMIF),Cooperative federation or union,Europe,United Kingdom,Manchester,53.4807593,-2.2426305,,,Cooperative federation or union,"Denzell House, Dunham Road, Altrincham, Cheshire, WA14 4QE Manchester, UK",ICMIF is the global trade association for cooperative and mutual insurers worldwide. We have 220+ members in almost 70 countries.,,www.icmif.org,n/a,
Support to Young Co-operators,Neighboring Food Co-op Association,Cooperative federation or union,Americas,United States of America,"Shelburne Falls, MA",42.6042514,-72.7392588,,,Cooperative federation or union,"P.O. Box 93 Shelburne Falls, MA 01370 U.S.A.","The NFCA is a federation of more than 35 food co-ops and start-ups, locally owned by 130,000 members.","In addition to peer networking, marketing, and sourcing services, we provide educational resources to our member co-ops and participate in an undergraduate certificate program in co-operative enterprise in collaboration with a local university.",www.nfca.coop,info@nfca.coop,
Support to Young Co-operators,Conseil de la coopération de l'Ontario,Cooperative federation or union,Americas,Canada,Ottawa,45.4215296,-75.6971931,,,Cooperative federation or union,"223 rue Main, boîte 90, Ottawa, Ontario K1S 1C4 CANADA","Le Conseil de la coopération de l'Ontario est une entreprise sociale ontarienne sans but lucratif fondée en 1964. Nous travaillons à assurer la promotion, le développement durable et l'innovation des coopératives et des entreprises sociales (que nous appelons ensemble des entreprises collectives) en Ontario, nous sommes des joueurs de premier plan du développement économique communautaire, nous faisons de la recherche et de l'innovation sociale et nous sommes experts de la gestion organisationnelle.","Le Conseil de la Coopération de l’Ontario (CCO) a pour mission de contribuer à l’essor de l’économie sociale dans la collectivité francophone par la coopération. Il réalise cette mission en permettant aux coopératives et entreprises sociales de se concerter, de promouvoir leurs intérêts et de soutenir leur développement.",www.cco.coop,info@cco.coop,
Support to Young Co-operators,"Federación de Cooperativas de Ahorro y Crédito de Honduras, Ltda. (FACACH)",Cooperative federation or union,Americas,Honduras,Tegucigalpa,14.0722751,-87.192136,,,Cooperative federation or union,"Colonia Palmira, Avenida Juan Lindo N°121, Tegucigalpa, Honduras","FACACH es una Federación de Cooperativas de Ahorro y Crédito de segundo piso, representa y apoya a 84 Cooperativas, para que sean instituciones competitivas en el mercado financiero y ofrezcan productos y servicios accesibles, que mejoren la calidad de vida de la población hondureña.","FACACH constituye su Comité de Juventud en 2015, con el objetivo de apoyar a sus afiliadas en la conformación de Comités de Juventud según lo estipula La Ley de Cooperativas de Honduras y su Reglamento. Promovemos la participación de la Juventud para que sean incorporados y tomados en cuenta en las acciones que realiza cada Cooperativa dada su condición de alternativa de trabajo, espacio recreativo y formativo.",www.facach.org,maziel.flores@facach.com,
Support to Young Co-operators,CSN Cooperative Financiera,Cooperative federation or union,Americas,México,Monterry,25.6866142,-100.3161126,,,Cooperative federation or union,"Av. Republica Mexicana 401, Las Puentes @do Sector, San Nicolas de los Garza, Nueco Leon, CP 66460 Monterry, Mexico",ES UNA COOPERATIVA DE AHORRO Y CREDITO,Es una cooperativa financiera con un gran numero de jóvenes asociados y empleados que fortalecen el desarrollo de la sociedad mediante los productos y servicios que ofrecemos,www.csn.coop,licfermendez@outlook.com,
