Organization Type,Name,name,Region,Country,City,Latitude,Longitude,Size,Type,Sector,Address,Description,Additional Details,Website,Email,,
Youth-led Co-ops,Mecha,Cooperativa de producci�n,Americas,Venezuela,Caracas,10.4805937,-66.9036063,6-20,Cooperativa de producci�n,Communications,"1015 Parque Central, edificio Caroata, nivel de Oficinas 2, oficina 209, san Agust�n, Caracas, Venezuela","Somos un equipo de productores de contenido multiformato, dedicados a comunicar ideas, miradas e historias por distintos medios.","Combinamos las posibilidades t�cnicas de la animaci�n 2D y 3D, las interfaces interactivas y el dise�o editorial, con las herramientas metodol�gicas y creativas del arte, la literatura y las ciencias sociales, para generar productos comunicacionales y sistemas de seguridad innovadores y efectivos. En nuestros nueve a�os de experiencia como equipo de trabajo, hemos apuntado a explotar las posibilidades de la comunicaci�n (audio)visual y digital, para acompa�ar procesos de formaci�n colectiva, preservaci�n cultural y medioambiental, y mejora en la calidad de vida de los seres humanos.",http://mecha.pro,hola@mecha.pro,,
Youth-led Co-ops,Cooperativa de Trabajo ASUMA Ltda.,Cooperativa de trabajo y empleo,Americas,Argentina,Ciudad de Buenos Aires,-34.6036844,-58.3815591,6-20,Cooperativa de trabajo y empleo,Environmental,"Uriarte 1265, CP 1414, Ciudad Aut�noma de Buenos Aires, Argentina","Somos Arquitectxs, Dise�adores Industriales, Ambient�logos y Dise�adores Gr�ficos. Hacemos proyectos: desde Cestos separadores y Compostadoras Comunitarias hasta barrios sustentables completos. Trabajamos en formatos de dise�o participativo con Cooperativas de Vivienda, escuelas, Bibliotecas populares, Recuperadores Urbanos, Villas de emergencia y asentamientos, Productores hort�colas entre otros. Realizamos consultoria t�cnico-ambiental: desde evaluaciones de impacto ambiental, planes de manejo de recursos naturales. Y asesoramos t�cnicamente a empresas constructoras, municipios, y entes de ejecuci�n en general, brindando talleres de inspecci�n de obra, redacci�n de pliegos de especificaciones t�cnicas, elaboraci�n de documentaci�n legal-t�cnica para la licitaci�n y ejecuci�n de obras. Brindamos talleres ambientales: Desde una perspectiva interdisciplinaria e integral, a todo tipo de organizaci�n, ONG, empresas y municipios. Abordamos problem�ticas ambientales situadas en los territorios desde la participaci�n y el dialogo de saberes.","Tenemos 3 �reas de actuaci�n: -T�cnica -Comunidad -Proyectos estrat�gicos / Ecolog�a Aplicada Las tres �ereas se relacionan y no pueden funcionar sin la otra. Nos permite trabajar a diferentes escalas y complejidades sin perder nuestros objetivos esenciales. Trabajamos asesorando organizaciones sociales y gobiernos locales en diversos campos asociados a la sustentabildad, en particular lo referido a tratamiento de residuos, vivienda sustentable, escuelas y equipamiento comunitario, tanto en su fase de dise�o y direcci�n de obra como del asesoramiento, consultor�a y capacitaci�n desde planes de manejo, puesta en marcha y seguimiento.",www.grupoasuma.com,contacto@grupoasuma.com,,
Youth-led Co-ops,ERSE - Ecological Research and Services for the Environment - soc. coop. s.t.p.,Environmental,Europe,Italy,Viareggio,43.8657267,10.2513103,0-5,Work and employment cooperative,Environmental,"Via Aurelia Sud 291, 55049 Viareggio (LU), Italy","ERSE realizes environmental monitorings to analyze flora and fauna in terrestrial, marine and fluvial ecosystems (Environmental Impact Assessment, Action Plans for Nature Conservation, etc.)","ERSE also works to offer scientific experiences in Citizen Science projects for adult and young people, to improve the cooperation between Civil Society and Scientific World.",www.erseambiente.it,erse@erseambiente.it,,
Youth-led Co-ops,K/South Huru Huduma SACCO,Environmental,Africa,Kenya,Nairobi,-1.2920659,36.8219462,0-5,Final consumer/user cooperative,Environmental,n/a,"Ksouth huru huduma sacco is part of the kenya government initiative under national youth service that identified jobless youths in the city and provided them with environmental jobs such as cleaning the roads,unblocking trenches,garbage collection,sweeping etc.The wages earned by inidivuals were then pulled into one sacco thereby enabling the youths to engage in saving and borrowing of loans.The idea was to encourage the youths in our neighbourhood to engage in entrepreuniral activities,start business and watch them grow and be sustainable.We have several success stories from different youths who have set up successful business personally i have been able to set a container space business which involves renting our spaces on partioned shipping containers.I collect rents from the business stalls and i thank the government for providing the environment programme to the youths in my neighbourhood.Others have set up barbershops,saloon,clothing design shops etc",we are a youth based sacco of very very vibrant young men and women from the low income neighbourhoods in nairobi kenya,n/a,ksouthhuruhuduma@gmail.com,,
Youth-led Co-ops,Northfield Curbside Compost Cooperative,Environmental,Americas,United States,"Northfield, Minnesota",44.4582983,-93.161604,0-5,Work and employment cooperative,Environmental,"308 St. Olaf Avenue, Northfield, MN, 55057","We collect compostable waste (organic waste like food scraps, paper products, etc.) from residents and businesses in Northfield and deliver them to a composting site where that waste is turned into soil. We also do education in schools, businesses, churches, and other establishments about what compost is and why its important.","We have over 400 household subscribers to our business and currently 4 institutions/ business subscribers that we collect compost from on a weekly basis. We are successfully reducing the amount of waste traveling to the landfill in our county by providing this needed service to our community. We hope to grow into a collection service utilized by our whole town and neighboring towns, and to process the compost locally so that we can provide good soil to our farmers, gardeners, and landscapers in our area.",https://www.northfieldcompost.com/,northfieldcomposting@gmail.com,,
Youth-led Co-ops,ETICAE - Stewardship in Action,Environmental,Europe,Italy,Frosinone,41.6576528,13.6362715,0-5,Cooperativa di lavoro,Environmental,"Via Casilina Nord 151, 03100 Frosinone, Italia","Nata nel 2014, ETICAE � Stewardship in Action � una cooperativa di servizi che si occupa di consulenza e formazione sulla responsabilit� sociale d�impresa e sostenibilit�.","ETICAE � Stewardship in Action � la prima societ� italiana a offrire servizi di consulenza e formazione sulla stewardship. Grazie ad una partnership con l'associazione European Water Stewardship, � anche l�unica societ� italiana a fornire servizi di consulenza per l�ottenimento della certificazione sulla gestione etica delle risorse idriche (water stewardship). Oltre alla stewardship, ETICAE � Stewardship in Action offre servizi che spaziano dalla rendicontazione sociale, alla certificazione etica SA8000 sino alla progettazione architettonica sostenibile. ETICAE � Stewardship in Action nasce nel 2014 come braccio operativo di Stewardship Associazione Italiana per la gestione etica delle risorse (""Stewardship Italia""). ETICAE - Stewardship in Action � associata a Legacoop Nazionale. La Presidente, Annalisa Casino, � membro di Direzione di Legacoop Lazio e membro della Presidenza Legacoop Produzione e Servizi. Inoltre, i soci di ETICAE - Stewardship in Action partecipano attivamente a Generazioni Legacoop attraverso il coordinamento regionale Generazioni Legacoop Lazio. Da maggio 2018, ETICAE - Stewardship in Action � socia di Banca Etica.",www.eticae.it,info@eticae.it,,
Youth-led Co-ops,"Ekobideak Koop, elk.txikia",Cooperativa de producci�n,Europe,Spain,Bilbao,43.2630126,-2.9349852,0-5,Cooperativa de producci�n,Environmental,"Avenida Zuberoa 12, 4�Drcha, Bilbao, Spain","En Ekobideak nos dedicamos al geoturismo y a la educaci�n ambiental mediante la elaboraci�n de productos y servicios destinados a la concienciaci�n, difusi�n e implantamiento de las ciencias de la Tierra.","Entre nuestros servicios est�n charlas, talleres y salidas de campo. Nuestros productos en cambio tienen una mayor amplitud: tematizaci�n de itinerarios, desarrollo de mapas (f�sicos y digitales), elaboraci�n de inventarios de elementos de inter�s, bases de datos...pod�is encontrar m�s en nuestra p�gina web.",https://www.ekobideak.com/,ekobideak@gmail.com,,
Youth-led Co-ops,Magnesium,Cooperativa de trabajo y empleo,Americas,Uruguay,Montevideo,-34.9011127,-56.1645314,0-5,Cooperativa de trabajo y empleo,Freelancer,"Av. Gonzalo Ram�rez 1676, Montevideo, Montevideo 11200, UY","Magnesium es una cooperativa especializada en tecnolog�a cuyo rubro principal es el desarrollo de software a medida, con foco en proyectos con un fuerte componente de investigaci�n cientifica.","Disfrutamos construyendo soluciones desafiantes de forma �gil y eficaz, creemos que la calidad y las mejores pr�cticas de la ingenier�a deben ser puestas al servicio de nuestros clientes, acompa�ando los procesos de negocio y contribuyendo a su mejora. Somos un equipo con diversos perfiles y variada experiencia en diferentes proyectos y tecnolog�as.",magnesium.coop,info@magnesium.coop,,
Youth-led Co-ops,Eyemoles Arts and Technology Co-operative,Freelancer,Americas,Canada,Vancouver,49.2827291,-123.1207375,6-20,Work and employment cooperative,Freelancer,"3173 East 22nd Avenue, Vancouver, British Columbia, Canada","Eyemole Arts and Technology Co-operative makes digital media and other services by bringing together professionals in the tech sector, social-impact investors, and values-aligned clients.","Eyemole Arts and Technology Co-operative, is� guess what� an arts and technology co-operative. What that means is we cook up projects, services, and digital platforms that address inequality in our economies in one form or another. We think that alternatives are necessary to redistribute the wealth created by our hearts, minds, and hands so that the lion's share doesn't simply end up in the pockets of the few and becomes the moles� share instead.",eyemole.io,hello@eyemole.io,,
Youth-led Co-ops,Nottingham Student Housing Co-operative,Housing,Europe,UK,Nottingham,52.9547832,-1.1581086,0-5,Final consumer/user cooperative,Housing,"55 Robinet Road, Beeston, Nottingham, NG9 1GP, England, UK",We are a student housing co-operative for students living in the Greater Nottingham Area.,"We are a member of Students for Cooperation (SFC) and their recent project, just launched, called Student Co-operative Homes (SCH).",http://www.students.coop/,nottinghamstudenthousingcoop@gmail.com,,
Youth-led Co-ops,Castlegreen Housing Coooperative,Housing,Americas,Canada,"Thunder Bay, Ontario",48.3808951,-89.2476823,6-20,Final consumer/user cooperative,Housing,"213 Castlegreen Drive, Thunder Bay, Ontario, Canada, P7A 7W4","Castlegreen Housing Cooperative is comprised of 215 housing units in town homes in Thunder Bay, Ontario. Units range from one bedroom accessible units all the way up to four bedroom two storey units. With around 500 members living in the co-operative, community is strong in Castlegreen and neighbours always look out for eachother.",,http://www.castlegreen.on.ca,sarahkejensen@gmail.com,,
Youth-led Co-ops,Waterloo Co-operative Residence Inc,Housing,Americas,Canada,Waterloo,43.4642578,-80.5204096,6-20,Final consumer/user cooperative,Housing,"268 Phillip St., Waterloo, Ontario, Canada, N2L 6G9","Waterloo Co-operative Residence Inc (WCRI) is a 50+ year old student housing co-op in Waterloo, ON that provides housing to post-secondary students in the region. WCRI has 800+ beds, operates on a non-profit basis, and currently undergoing expansion.",,www.wcri.coop,president@wcri.coop,,
Youth-led Co-ops,Simaki Housing Co-operative Society Ltd.,Housing,Africa,Kenya,Nairobi,-1.2920659,36.8219462,0-5,Multi-stakeholder cooperative,Housing,"P.O BOX 28303 - 00200 Nairobi, Kenya",Simaki Housing Co-operative started as a welfare group of youths drawn from friends.,,n/a,simakiwelfare@gmail.com,,
Youth-led Co-ops,Karachi Cooperative Housing Socities Union Ltd. (Youth Cooperative Wing of Pakistan Program),Housing,Asia-Pacific,Pakistan,Karachi,24.8607343,67.0011364,21-50,Multi-stakeholder cooperative,Housing,"144 Justice Inamullah Rd, Karachi Memon Society PECHS, Karachi, Karachi City, Sindh, Pakistan",Housing cooperative that provides low cost housing by acquiring land from the government.,"Interested to know about it our selves, where are the youth located.",https://www.facebook.com/ycwpakistan/,kcshunionltd@live.com,,
Youth-led Co-ops,Cooperativa de Vivienda La Creciente,Cooperativa de consumo / usuario final,Americas,Argentina,Rosario,-32.9442426,-60.6505388,0-5,Cooperativa de consumo / usuario final,Housing,"2000 Rosaeio, Argentina","Es una Cooperativa de Vivienda por Ayuda Mutua y Propiedad Colectiva, experiencia piloto en Rosario que viene a dar una nueva forma conquistar derechos en una ciudad marcada por la especulaci�n inmobiliaria.","Estamos construyendo, inspir�ndonos en la tradici�n de nuestra clase, para lograr sus derechos postergados, se basa en principios b�sicos de Ayuda Mutua, Autogest�on y Propiedad Colectiva. Nacimos en el 2012 cuando organizamos una jornadas de h�bitat popular mostrando la experiencias de FUCVAM y del Movimiento de Ocupantes e Inquilinos, del que actualmente formamos parte. Como grupo fuimos fortaleci�ndonos , a la par fuimos gestionando los recursos al estado, para poder concretar nuestra experiencia. A pasos de concretar, nos encuentra orgulloso de ser parte de este sue�o colectivo. Contexte Vivimos en una ciudad y en un pa�s, donde la vivienda se ha convertido en una MERCANC�A muy cara para los sectores populares. Ante la imposibilidad de poder acceder a una vivienda digna en la ciudad, nos propusimos intentar concretar un proyecto colectivo, a un problema que entendemos que es colectivo. Nuestra cuidad esta atravesada por una l�gica especulativa muy fuerte, mientras 50 mil familias necesitan un techo, existen 80 mil viviendas vac�as.En instancias de asambleas hemos decidido todo, desde los par�metros del proyecto arquitect�nico, hasta las propuestas de capacitaci�n para pensar conceptos propios de sustantividad. Trabajamos en comisiones ( finanzas, gesti�n, financiaci�n t�cnica ,socio-comunitaria) y apostamos a crear un proyecto que contemple el Derecho a la belleza�� Al concepto de sustantividad lo estamos haciendo propio analizando, a trav�s de talleres espec�ficos, para dise�ar los conceptos que aplicaremos en nuestras viviendas. Trabajamos las tem�ticas de basura, movilidad, y energ�a.",www.moi.org,petroniando@gmail.com,,
Youth-led Co-ops,Doce Vale Coop,Cooperativa de m�ltiples actores,Americas,Brasil,Porto Alegre,-30.0346471,-51.2176584,0-5,Cooperativa de m�ltiples actores,Housing,"AV. OTTO NIEMEYER, 2595 - SALA 206 - CAVALHADA CEP 91910-200 - PORTO ALEGRE - RS - BRASIL",Cooperativa habitacional.,CONSTR�I PRINCIPALMENTE COM RECURSOS DE PROGRAMAS SOCIAIS DO GOVERNO FEDERAL,https://www.facebook.com/pages/category/Real-Estate/DOCE-VALE-COOP-342798703197372/,n/a,,
Youth-led Co-ops,Casas Pasivas,Cooperativa de trabajo y empleo,Americas,Uruguay,Montevideo,-34.9011127,-56.1645314,0-5,Cooperativa de trabajo y empleo,Housing,"18 de Julio, c/o CudeCoop, Montevideo, Uruguay",Eficiencia energ�tica para viviendas.,,http://www.cudecoop.coop/cudecoop/cudecoop/,n/a,,
Youth-led Co-ops,Active Vision,Incubator,Africa,Democratic Republic of Congo,Bukavu,-2.5123017,28.8480284,0-5,Coop�rative pluri-acteurs,Incubator,n/a,Active Vision est une organisation de jeunes entrepreneurs congolais qui r�vent d'une nouvelle g�n�ration congolaise riche et prosp�re survivante des moments difficiles que connait notre pays.,"Active Vision a pour mission d'accompagner chaque jeune, en priorit� ceux qui n'ont pas eu la chance d'achever leur parcours scolaire, � transformer sa vision en entreprise active. Et cette mission est mat�rialis�e principalement par la formation entrepreneuriale et le conseil en gestion. Nous organisons �galement des �v�nements pour la promotion de l'entrepreneuriat.",https://www.facebook.com/pg/Active-Vision-160510764566437/about/,activevsn@gmail.com,,
Youth-led Co-ops,Conseil qu�b�cois de la coop�ration et de la mutualit�,Incubator,Americas,Canada,"Levis, Quebec",46.7382265,-71.2464591,6-20,Coop�rative pluri-acteurs,Incubator,"5955 rue Saint-Laurent, Levis, QC, Canada G6V 3P5","Le CQCM travaille � la concertation, la repr�sentation et le d�veloppement des 3 000 coop�ratives et mutuelles qu�b�coises et met en �uvre un programme d��ducation et de mobilisation des jeunes dans toute la province, gr�ce � un appui du gouvernement provincial du Secr�tariat � la jeunesse.",,www.cqcm.coop,info@cqcm.coop,,
Youth-led Co-ops,KnowledgeWorker,Incubator,Europe,Denmark,Copenhagen,55.6760968,12.5683372,6-20,Multi-stakeholder cooperative,Incubator,"Pustervig 4, 1126 K�benhavn, Denmark","KnowledgeWorker wants to realise the economic growth potential in small and medium enterprises (SME) that lack the sufficient academic and practical know how or the financial foundation to expand their business. We transform ideas into sustainable businesses in the intersection between business sense, academic insight and economic results. Through this KnowledgeWorker wants to create growth in businesses and create jobs in society.",,https://www.knowledgeworker.dk,info@knowledgeworker.dk,,
Youth-led Co-ops,Junior Achivement Eswatini,Incubator,Africa,Swaziland,Manzini,-26.5081999,31.3713164,51-100,Work and employment cooperative,Incubator,"MITC Campus. St. Michaels Road PO Box 2187, Manzini, Kingdom of Swaziland",There are 40 inschool cooperatives that have been established for purposes of helping students practice the principles of financial literacy. There are also out of school youth cooperatives which have been established,These are inschool cooperatives that JA Eswatini has established in 40 schools all over the country.,http://www.jaswaziland.org/index.html,info@jaswaziland.org,,
Youth-led Co-ops,Cooperativa Nacional Produccion y Trabajo de Tecnicos a Domicilio,Cooperativa de producci�n,Americas,Dominican Republic,Santo Domingo,18.4860575,-69.9312117,6-20,Cooperativa de producci�n,Industry/Manufacturing,"Ave. Mexico esq. 30 de marzo, Santo Domingo, Dominican Republic","Es una cooperativa que integra jovenes tecnicos en Herreria tradicional y artistica, pero esta contemplada para integrar otras areas tecnicas como electricistas, plomeros, refrigeracion etc. Estos jovenes son jovene miembros de familias de escasos recursos que buscamos generar fuente de empleos.",Actualmente los socios y socias son tecnicos en herreria y trabajan a la vez artesania usando como materia prima el hierra.,https://www.facebook.com/Coopnatedo/,coopnatedo@hotmail.com,,
Youth-led Co-ops,Co-operative Insurance Company,Insurance,Africa,Kenya,Nairobi,-1.2920659,36.8219462,100+,Work and employment cooperative,Insurance,"CIC Group, CIC Plaza, Mara Road, Upperhill Nairobi, Kenya P O Box 59485-00200",Provision of insurance services,"Our Values"," -Integrity, -Dynamism, -Perfomance, -Cooperation",www.cic.co.ke,callc@cic.co.ke,
Youth-led Co-ops,Lama,Management Consulting,Europe,Italy,Firenze,43.7695604,11.2558136,6-20,Cooperativa di lavoro,Management Consulting,"Via Panciatichi 10-14, 50127, Firenze, Italia","LAMA is a consulting company that designs and realizes solutions to tackle change successfully. Since 2007, LAMA assists businesses, public institutions and not for profit organisations in the innovation of strategies, operations and management processes, in response to the increasing complex and challenging scenario of present times.",,www.agenzialama.eu,Info@agenzialama.eu,,
Youth-led Co-ops,COOPEM Ltda ESRN N57,Cooperativa de m�ltiples actores,Americas,Argentina,Maquinchao,-41.2485581,-68.7019736,0-5,Cooperativa de m�ltiples actores,Multi-purpose,"Av Independencia s/n. Maquinchao, CP 8422. RN Argentina","Es una cooperativa de j�venes estudiantes que funciona hace 13 a�os. Es una propuesta de adhesi�n voluntaria ya que se desarrolla en contraturno escolar, fines de semana ...en vacaciones.",Se inici� con el prop�sito de abaratar los costos de los �tiles escolares a los alumnos. Y a eso le hemos ido sumando otras actividades como la elaboraci�n de productos regionales tales como escabeches y dulces. Entre otras actividades que realizamos.,n/a,zulmaburgos@gmail.com,,
Youth-led Co-ops,CJS Bohain,Multi-purpose,Europe,France,Bohain,49.986989,3.454714,0-5,Coop�rative de travailleur.se.s,Multi-purpose,"14, rue de la R�publique, Bohain, France",Prestations de service � particuliers et entreprises,,n/a,cjsbohain@gmail.com,,
Youth-led Co-ops,ESS'pace,Multi-purpose,Europe,France,Paris,48.856614,2.3522219,6-20,Coop�rative pluri-acteurs,Multi-purpose,"15 rue Jean-Antoine de Ba�f 75013 Paris, France",ESS'pace est un tiers-lieu compos� de deux principaux espaces et activit�s : un espace de coworking qui accueille des porteurs de projets �tudiant.es dans l'�conomie sociale et des entrepreneur.ses coop�ratives "," un bar-restaurant accueillant �tudiant.es et habitant.es du quartier et de nombreuses animations.,,https://www.esspace.coop/,contact@esspace.coop,
Youth-led Co-ops,Green Campus Co-operatives,Multi-purpose,Americas,Canada,Toronto,43.653226,-79.3831843,0-5,Final consumer/user cooperative,Multi-purpose,"York University, 4700 Keele St, North Ross 142, Toronto, Ontario, Canada, M3J 1P3","The Green Campus Co-operative is a nonprofit campus co-operative incubator that retains (at least partial) ownership of it's ventures. We currently have two partner ventures: The et al Faculty and Graduate Student Cafe & Pub Green Campus Cotton These ventures are designed to address specific sets of social and environmental industry-rooted problems that require a commercial, civil society and research approach when developing market-based solutions. We are governed by students and faculty that democratically advise our strategy, research our value chains and explore social entrepreneurship through experiential learning.",,www.greencampuscoops.com,info@greencampuscoops.com,,
Youth-led Co-ops,Coop2u,Multi-purpose,Asia-Pacific,Malaysia,Kuala Lumpur,3.139003,101.686855,0-5,Final consumer/user cooperative,Multi-purpose,"No. 6 Jalan 13/48a Sentulraya Boulevard, 51000 Kuala Lumpur, Malaysia",A consumer coop that supplies consumer electronics products to coop members,Also involved in Web and app development,http://www.youth-asiapacific.coop,Info@coo2u.com,,
Youth-led Co-ops,"Koperasi ""Kopma UGM""",Multi-purpose,Asia-Pacific,Indonesia,"Sleman, Yogyakarta",-7.7325213,110.402376,51-100,Final consumer/user cooperative,Multi-purpose,"Universitas Gadjah Mada, Bulaksumur, Depok, Sleman, Yogyakarta, Indonesia","Kopma UGM is one of student activities in Universitas Gadjah Mada and legaly listed in cooperative ministry. it has several business divition such us supermarket, cafetaria canteen, expedition, and convection. business activities profit is to fasilitate member activities. all member will get three main education of cooperative and also there are some activities related to young activities such us sport, public speacking, trainning activities, and so on.",kopma ugm has it aplication web named Aciko. from Aciko someone can looking the infomation like the agenda (for non member just can see that information) but to all members they can see their saving and their point from their activities,kopma.ugm.ac.id,info@kopma-ugm.net,,
Youth-led Co-ops,Student Cooperative Society,Multi-purpose,Africa,Nigeria,Awka,6.2220043,7.0821162,6-20,Final consumer/user cooperative,Multi-purpose,"Nnamdi Azikwe University, Awka Anambra State, Nigeria",It is a consumer cooperative society.,,n/a,n/a,,
Youth-led Co-ops,KOSAKTI,Multi-purpose,Asia-Pacific,Indonesia,Jakarta,-6.2087634,106.845599,0-5,Multi-stakeholder cooperative,Multi-purpose,"Jl. Otista Raya No.390, RT.6/RW.12, Kp. Melayu, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330, Indonesia",Business provider cooperative - a general platform for businesses with cooperative model/value.,"Our cooperative focus on incubating and providing needs for feasible yet unbankable businesses, especially one with social impact.",kosakti.id,berkoperasi@kosakti.id,,
Youth-led Co-ops,Student Cooperative of Gadjah Mada University,Multi-purpose,Asia-Pacific,Indonesia,Sleman,-7.7325213,110.402376,100+,Multi-stakeholder cooperative,Multi-purpose,Bulaksumus H-7 & H-8 Depok Sleman Yogyakarta 55281,"This undertakes many activities, such as a minimarket, cafeteria, courier, etc.",,Kopma.ugm.ac.id,bpricilla99@gmail.com,,
Youth-led Co-ops,NEWS Multipurpose Cooperative,Multi-purpose,Asia-Pacific,Philippines,"San Jose, Dinagat Islands",10.0254969,125.5986093,100+,Multi-stakeholder cooperative,Multi-purpose,"P-6 Poblacion, San Jose, Province of Dinagat Islands (8427), Philippines","A multi-purpose cooperative that offers loans, transportation services, cable tv, supplies and ticketing.",,n/a,n/a,,
Youth-led Co-ops,"Pedi Help & Cleaning, Pedi Solution, and Ada Ide Creative Studio",Multi-purpose,Asia-Pacific,Indonesia,Purwokerto,-7.4242782,109.2396366,0-5,Work and employment cooperative,Multi-purpose,"Jl. HR. Boenyamin No. 16-17 Bancarkembar Purwokerto Utara Kab Banyumas, Indonesia","My coop helps creative youth to develop coop businesses. These include, Pedi Help provides cleaning and other helping services. Pedi Solution is an Andriod based market place. Ada Ide Creative Studio works in the creative sector: deisgn graphic, software engineering, video making etc.",,Pedi.id,n/a,,
Youth-led Co-ops,Cooperativa Juvenil los Criollos,Cooperativa de m�ltiples actores,Americas,Puerto Rico,Caguas,18.2387995,-66.035249,0-5,Cooperativa de m�ltiples actores,Multi-purpose,Calle Juan morales final urb valle Tolima Caguas Puerto Rico 00725,"Cooperativa de servicios m�ltiples la cual intita satisfacer las necesidades, de la comunidad escolar.",,https://www.facebook.com/Cooploscriollos/,michaelacxer@gmail.com,,
Youth-led Co-ops,Spidsroden ApS,Retail,Europe,Denmark,Copenhagen,55.6760968,12.5683372,6-20,Work and employment cooperative,Retail,n/a,Small organic shop owned equally by six members in our cooperative. We run the shop together and make all decisions together.,,www.spidsroden.dk,butik@spidsroden.dk,,
Youth-led Co-ops,Cooperativa de Trabajo AIP Mart�n G�emes Ltda.,Cooperativa de trabajo y empleo,Americas,Argentina,C�rdoba Capital,-31.4200833,-64.1887761,100+,Cooperativa de trabajo y empleo,Security Services,"Uriarte 1265, CP 1414, Ciudad Aut�noma de Buenos Aires, Argentina","La Cooperativa de Trabajo Mart�n G�emes Ltda. es una entidad con casi 50 a�os de antig�edad. Presta servicios de vigilancia y seguridad a la comunidad. Los asociados de la entidad, prestan su aporte personal de trabajo como vigiladores de predios, f�bricas, centros comerciales, complejos de viviendas, etc.","Est� compuesta por 160 miembros aproximadamente, la mayor�a de ellosprovenientes de sectores sociales humildes, habiendo completado la mayor�a de ellos, �nicamente, la educaci�n b�sica obligatoria (Educaci�n secundaria).",http://www.coopmartinguemes.com/,jonigomezder@gmail.com,,
Youth-led Co-ops,Demoela Soc Soop,Social,Europe,Italy,Genova,44.4056499,8.946256,0-5,Cooperativa di lavoro,Social,"Viale franchini 24/2 16167 GE, Genova, Italy","This is a cooperative based on two combined passions: on one hand the interest for games, on the other the attention to social and cultural needs. Alberto, Luigi and Pietro, the 3 founders, are friends since 20 years and propose games and gaming as strong tools for healthy and sustainable interactions, in order to promote strong social messages.","This is a ooperative based on two combined passions: on one hand an interest in games, on the other the attention to social and cultural needs. Alberto, Luigi and Pietro, the 3 founders, are friends for 20 years and propose games and gaming as strong tools for healthy and sustainable interactions, in order to promote strong social messages.",www.demoela.com,info@demoela.com,,
Youth-led Co-ops,"FAJNA Sp�?dzielnia Socjalna, Instytut Innowatyki, Fundacja Wielopokoleniowa",Social,Europe,Poland,Katowice,50.2648919,19.0237815,6-20,Work and employment cooperative,Social,ul. Warszawska 36 / p. I,A social enterprise that activates people with disabilities.,the cooperative is open to the implementation of transnational projects for the activation of young people,http://www.fajna.eu/,fajna@fajna.eu,,
Youth-led Co-ops,Cooperative d'energie de la vision (COENEVI),Social,Africa,Rawanda,Nyanza District,-2.2398377,29.742604,6-20,Work and employment cooperative,Social,n/a,"Cooperative d'energie de la vision (COENEVI) is located in the southern region of Rawanda, in the Nyanza District. We aim to achieve social mobilization through theatre and also agriculture, in collaboration with institution such as The Society for Family Health (SFH/Rwanda) Umurage Communication for Development (UMC), and the Ministry of Youth. These institutions support our activities, for instance in the areas of mobile family planning, HIV prevention, and malaria prevention. We are registered nationally.","Cooperative d'Energie de la Vision has organized more Event and we have a proof such as narratif report Including pictures, office located at that was talk about before and finance report.",n/a,coop.coenevi@gmail.com,,
Youth-led Co-ops,Coopeasued R.L,Cooperativa de m�ltiples actores,Americas,Costa Rica,Palmares,10.060727,-84.4378495,0-5,Cooperativa de m�ltiples actores,Training & Education,"20701 Palmares, Costa Rica","Cooperativa de estudiantes. Proyecto productivo: ahorro, servicio de fotocopiado, venta de libros, librer�a y uniformes de la instituci�n.",Su principal objetivo es la educaci�n cooperativa.,n/a,Coopeasued@lebpalmares.ed.cr,,
Youth-led Co-ops,COOPETECS RL,Cooperativa de m�ltiples actores,Americas,Costa Rica,Heredia,9.9981413,-84.1197643,0-5,Cooperativa de m�ltiples actores,Training & Education,"Costa Rica Heredia, Flores San Joaqu�n 200 norte de la Ciudad Judicial",Cooperativa estudiantil que promueve en ahorro y la pr�ctica de principios cooperativos y emprendedores en estudiantes se secundaria.,"Nuestra cooperativa pertenece a la comunidad educativa del Colegio T�cnico Profesional de Flores, promueve el ahorro, la vivencia de principios y valores cooperativos ya que los estudiantes son los responsables de liderar proyectos educativos y productivos.",n/a,coopetecs@hotmail.com,,
