GROUP_CONCAT(DISTINCT RegistrantId),Organisation,c
"C283889629-CNIC,C283889784-CNIC",Central Missouri Community Credit Union,2
"C18206923-CNIC,C522304644-CNIC",Central Rural Electric Cooperative,2
"C509324059-CNIC,C664408094-CNIC",Cervesa Artesana Estrella Negra SCCL,2
"C24576927-CNIC,C24576945-CNIC",Choptank Electric Cooperative Inc.,2
"C382532475-CNIC,C382528020-CNIC","Chugach Electric Assoc., Inc.",2
"C18210931-CNIC,C315545611-CNIC",Co operative Housing Federation of Canada,2
"C18225280-CNIC,C403280870-CNIC",Co-op Culture,2
"C18207283-CNIC,C18223924-CNIC",Co-operative Assistance Network Ltd,2
"C18214711-CNIC,C18220522-CNIC",Co-operative College,2
"C83859460-CNIC,C559990808-CNIC",Co-operative Federation of NSW Ltd,2
"C18225865-CNIC,C132320937-CNIC",Co-operative Housing Federation of Toronto,2
"C18226171-CNIC,C258617372-CNIC",Co-operative Management Education,2
"C18214714-CNIC,C226053269-CNIC",Co-operative Press,2
"C18206956-CNIC,C77296802-CNIC",Coastal Electric Membership Corp.,2
"C33264931-CNIC,C33264913-CNIC",Colorado REA,2
"C336029301-CNIC,C492436529-CNIC",Columinate,2
"C47928391-CNIC,C133717433-CNIC",Confecoop Antioquia,2
"C18208756-CNIC,C559313212-CNIC",Confederacio de Cooperativas de Catalunya,2
"C18217552-CNIC,C47364279-CNIC",Confederacion de Cooperativas de Euskadi,2
"C172298018-CNIC,C18218662-CNIC",Consejo Superior de Cooperativas de Euskadi,2
"C205859755-CNIC,C156091883-CNIC",Consortium de ressources et expertises cooperatives,2
"C18217399-CNIC,C18218608-CNIC",Consumers Co-oppative Fukui,2
"C283909209-CNIC,C283901794-CNIC",Continental Cooperative Services,2
"C100935362-CNIC,C100934586-CNIC",Coop FR,2
"C18214498-CNIC,C283894884-CNIC",Coopaname,2
"C329068841-CNIC,C18221347-CNIC",CooperFed R.L.,2
"C18211036-CNIC,C18228235-CNIC",Cooperativa Mariano Acosta Ltda,2
"C120880638-CNIC,C277924449-CNIC",Cooperativa Nacional de Odontologos (COODONTOLOGOS),2
"C540305734-CNIC,C562769838-CNIC",Cooperativa Obrera Ltda.,2
"C540301879-CNIC,C540301664-CNIC",Cooperativa Telefonica de V.G.G. Limitada,2
"C21778693-CNIC,C215399349-CNIC",Cooperativa de Trabajo Gcoop,2
"C95466588-CNIC,C132579269-CNIC",Cooperativa de Trabajo Gcoop Ltda.,2
"C541038619-CNIC,C658307509-CNIC",Cooperativa de Trabajo Hub Ispirare Ltda.,2
"C687160648-CNIC,C687175138-CNIC",Cooperative CO-HOP,2
"C18209254-CNIC,C18224695-CNIC",Cooperative Development Services,2
"C131628847-CNIC,C130244018-CNIC",Cooperative Economic Empowerment Movement of the Inland Empire,2
"C610643838-CNIC,C610649108-CNIC",Cooperative Formations - Societe cooperative a actions simplifiee,2
"C379281400-CNIC,C379279525-CNIC",Cooperative Fund of New England,2
"C30296575-CNIC,C47236711-CNIC",Cooperative Insurance System of the Philippines,2
"C18209953-CNIC,C651985434-CNIC",Cooperative Network,2
"C197517779-CNIC,C81402613-CNIC",Cooperative Regions of Organic Producer Pools,2
"C18213625-CNIC,C18227392-CNIC",Cooperative Research Network,2
"C89556304-CNIC,C155950833-CNIC",Cooperative Support Services,2
"C91760582-CNIC,C348042641-CNIC",Cooperative de developpement regional du Quebec,2
"C606796363-CNIC,C606796468-CNIC",Cooperative de solidarite plein air de l'Abitibi-Temiscamingue,2
"C274746208-CNIC,C274793543-CNIC",Cooperative pour l'Agriculture de Proximite Ecologique,2
"C18231454-CNIC,C482572524-CNIC",Cooperatives Europe,2
"C18214744-CNIC,C18219619-CNIC",Coopetarivas Agro-Alimentarias,2
"C39472461-CNIC,C523070875-CNIC",Cooprative de dveloppement rgional Outaouais Laurentides,2
"C18212035-CNIC,C18212038-CNIC",Coseva Pluriservizi Scrl,2
"C18212083-CNIC,C375580666-CNIC",Crystal Valley Cooperative,2
"C361538006-CNIC,C644953963-CNIC",Cultura21,2
"C20494817-CNIC,C167753023-CNIC",Damnet scrl,2
"C18226894-CNIC,C179283592-CNIC",Data Commons Co-op,2
"C18207013-CNIC,C532266479-CNIC",Delta Electric Power Assn.,2
"C665601949-CNIC,C665602179-CNIC",Diverge Finance Cooperative,2
"C18206656-CNIC,C117563781-CNIC",Domains.coop Limited,2
"C18225415-CNIC,C228282109-CNIC","E.I. L'Eina, SCCL",2
"C77112948-CNIC,C201389879-CNIC",ECOBIO,2
"C154648989-CNIC,C154639323-CNIC",ECOS Grup Cooperatiu SCCL,2
"C18221203-CNIC,C157421658-CNIC",EFIGRAIN,2
"C18224923-CNIC,C39174925-CNIC",EGERTON UNIVERSITY SACCO LIMITED,2
"C520751344-CNIC,C537561219-CNIC",EPI ENERGIA POR LA IGUALDAD SCCL,2
"C509746169-CNIC,C509746179-CNIC","ETICOM SOM CONNEXIO, Societat Cooperativa Catalana  Limitada",2
"C141190598-CNIC,C208412020-CNIC",Earthworker Cooperative,2
"C18207529-CNIC,C38693777-CNIC",East Central/Select Sires Cooperative,2
"C18218389-CNIC,C18231436-CNIC",Edinburgh Solar Co-op,2
"C199962944-CNIC,C160269058-CNIC",Elan batisseur,2
"C18222169-CNIC,C18228712-CNIC",Elan createur,2
"C75489455-CNIC,C18720359-CNIC",Electric Cooperatives of Mississippi,2
"C273946828-CNIC,C481447529-CNIC",Espai Ambiental SCCL,2
"C18214303-CNIC,C18214306-CNIC",Essential Trading Co-op Ltd,2
"C18220468-CNIC,C18220471-CNIC",Essential Trading Co-operative Ltd,2
"C18232414-CNIC,C526349389-CNIC",Everything Co-op,2
"C144352443-CNIC,C207137735-CNIC",Excite Credit Union,2
"C679023633-CNIC,C683595268-CNIC",Exponential Health LCA,2
"C47271944-CNIC,C47271712-CNIC",FAA Credit Union,2
"C92832100-CNIC,C157016358-CNIC",FASOLMUSIC.COOP SOCIETA' COOPERATIVA,2
"C89527991-CNIC,C18214606-CNIC",FCAC,2
"C18212311-CNIC,C450518576-CNIC",FEVECTA,2
"C137683407-CNIC,C137683517-CNIC",FFCGA,2
"C35964047-CNIC,C375496976-CNIC",FNSCHLM,2
"C279054424-CNIC,C191390044-CNIC",FQCMS,2
"C132816969-CNIC,C132817704-CNIC",FUNDACIO CATALUNYA-LA PEDRERA,2
"C18210301-CNIC,C258418617-CNIC",Fairfax County FCU Inc,2
"C18212686-CNIC,C46854902-CNIC",Farmers Co op Association,2
"C214306454-CNIC,C655845064-CNIC",Farmers Coop Society,2
"C509512604-CNIC,C509512369-CNIC",Farmhouse Kitchens,2
"C86748245-CNIC,C376840605-CNIC",Fechimm,2
"C287218874-CNIC,C582657143-CNIC",Federacion de Cooperativas de Produccion del Uruguay,2
"C333577091-CNIC,C283910984-CNIC",Federated Co-operatives Limited,2
"C44738922-CNIC,C44738955-CNIC",Federation Nationale des Societes Cooperatives dHLM,2
"C334308891-CNIC,C579554403-CNIC",Federation des cooperatives d'alimentation du Quebec Inc.,2
"C18220804-CNIC,C35763406-CNIC",Federation des cooperatives funeraires du Quebec,2
"C215392544-CNIC,C18223003-CNIC",Financiera Comultrasan,2
"C283897404-CNIC,C283904579-CNIC",First Alliance Credit Union,2
"C283908389-CNIC,C531134669-CNIC",Fleming Mason Energy,2
"C18222676-CNIC,C18224161-CNIC",Food Co-op Initiative,2
"C606924783-CNIC,C606925113-CNIC",Forty Acre Cooperative,2
"C417795721-CNIC,C501479244-CNIC",Fredericksburg Food Co-op,2
"C18228007-CNIC,C18228010-CNIC",Freedom First Federal Credit Union,2
"C184520647-CNIC,C184516732-CNIC",Fruits de Ponent Cooperativa dAlcarras,2
"C191709544-CNIC,C235726279-CNIC",GROUPE PILOTE,2
"C18207487-CNIC,C440839621-CNIC","GROWMARK, Inc.",2
"C18225097-CNIC,C144326268-CNIC","Garden City Co-op, Inc.",2
"C18230227-CNIC,C18231679-CNIC",GeDinfo soc coop,2
"C588091318-CNIC,C595124763-CNIC",Geeks Without Bounds,2
"C18216904-CNIC,C18223276-CNIC",Genossenschaftsverband Bayern e.V.,2
"C404047975-CNIC,C404047985-CNIC",Go Free Range Ltd,2
"C173487508-CNIC,C172330393-CNIC",Golden Spread Electric Cooperative,2
"C364990606-CNIC,C283905619-CNIC",Government ECU of El Paso,2
"C348355401-CNIC,C383235490-CNIC",Grand Forks Credit Union,2
"C18209401-CNIC,C18216883-CNIC",Green Fields Market,2
"C283905819-CNIC,C283907614-CNIC",GreenStar Cooperative Market,2
"C18212812-CNIC,C372917426-CNIC",Greenbelt Electric Cooperative,2
"C283907994-CNIC,C283892574-CNIC",Greenbelt Homes Inc.,2
"C559162992-CNIC,C566135703-CNIC",Guyana Social Enterprise,2
"C669647313-CNIC,C669648713-CNIC",HORTAMAR SDAD COOP ANDALUZA,2
"C18214873-CNIC,C18230728-CNIC",Habitation Familiale,2
"C18207586-CNIC,C18232432-CNIC",Harlowsave Credit Union,2
"C18227827-CNIC,C519920429-CNIC",Haywood Academy,2
"C18214294-CNIC,C223971194-CNIC",Hike Cooperativa Sociale a r.l.,2
"C283905279-CNIC,C667466783-CNIC",Hood River Electric Cooperative,2
"C18220150-CNIC,C260559277-CNIC",Hoosier Energy REC INC.,2
"C84200794-CNIC,C283905634-CNIC",Horizon Resources,2
"C193051064-CNIC,C251503572-CNIC",Hostsharing eG,2
"C219362274-CNIC,C219362284-CNIC",Hudson Valley FCU,2
"C18207637-CNIC,C78081703-CNIC",ICMIF,2
"C211175500-CNIC,C269188338-CNIC",InVivo Group,2
"C18224077-CNIC,C215851899-CNIC",Independent Stationers,2
"C491967089-CNIC,C658361359-CNIC",Innovatree,2
"C18213007-CNIC,C18226060-CNIC",Instituto Movilizador de Fondos Cooperativos,2
"C18223543-CNIC,C489000379-CNIC",Intermountain Rural Electric Association,2
"C557512488-CNIC,C29562798-CNIC",Internationale Produzenten Organisation eG,2
"C18218986-CNIC,C18222328-CNIC",Japanese Consumers' Co-operative Union,2
"C18223141-CNIC,C18224503-CNIC",Japanese Health and Welfare Co-operative Federation,2
"C45872565-CNIC,C18232306-CNIC","Jason Wiener, p.c.",2
"C271932613-CNIC,C271932638-CNIC",Jejusquare Corp,2
"C666850103-CNIC,C666848198-CNIC",Jewella Privacy LLC,2
"C123325501-CNIC,C334253171-CNIC","KOP DE MA BAR, SCCL",2
"C18227659-CNIC,C18227671-CNIC",Kitatama Central Health Co-operative,2
"C139920865-CNIC,C139920834-CNIC","Knouse Foods Cooperative, Inc.",2
"C290841544-CNIC,C645353173-CNIC",KnowledgeWorker,2
"C76208989-CNIC,C76209214-CNIC",L ESPER,2
"C619720073-CNIC,C677697213-CNIC",LEGA REGIONALE COOPERATIVE E MUTUE,2
"C476279819-CNIC,C561599318-CNIC",LEGACOOP EMILIA ROMAGNA,2
"C18224536-CNIC,C362570316-CNIC",La Coop Carbone,2
"C18212626-CNIC,C18223318-CNIC",La Equidad Seguros OC,2
"C18217117-CNIC,C76713703-CNIC",La Montanita Food Co-op,2
"C18211432-CNIC,C547553114-CNIC",La Segunda Coop Ltda de Seguros Generales,2
"C28727263-CNIC,C145925003-CNIC",LaCol SCCL,2
"C18227233-CNIC,C664600354-CNIC",Lagos State Cooperative Finance & Investment Society Limited,2
"C571267423-CNIC,C631220373-CNIC",Lake Life Co-op Systems,2
"C18211774-CNIC,C18226630-CNIC",Legacoop Liguria,2
"C132728477-CNIC,C473952579-CNIC",Les Fees Speciales,2
"C18215278-CNIC,C128686159-CNIC",Les Rencontres du Mont Blanc,2
"C44006746-CNIC,C281607279-CNIC",Lexington Real Foods Community Coop,2
"C18231061-CNIC,C178399267-CNIC",Librairie Les Volcans,2
"C18212629-CNIC,C335577336-CNIC",Librarie Coop Ahuntsic,2
"C18210076-CNIC,C139306802-CNIC",Lincolnshire Co-operative Ltd,2
"C18224158-CNIC,C286501299-CNIC",Lincolshire Co-operative,2
"C554004923-CNIC,C563509523-CNIC",Living Water Cooperative,2
"C517622664-CNIC,C517622749-CNIC",Louisville Association for Community Economics,2
"C283897759-CNIC,C283890584-CNIC",Manitoba Cooperative Association,2
"C283929664-CNIC,C283929729-CNIC",Manson Growers Cooperative,2
"C18207403-CNIC,C78903977-CNIC",Maquoketa Valley Electric Coop.,2
"C283894924-CNIC,C283894939-CNIC",Marshland Community Federal Credit Union,2
"C18215365-CNIC,C18215377-CNIC","Matanuska Electric Association, Inc.",2
"C547754034-CNIC,C547754029-CNIC",Mattole Uplift Cooperative,2
"C18229174-CNIC,C572818683-CNIC",MediaBlaze Hosting Limited,2
"C283884844-CNIC,C283913169-CNIC",Mediagroup98 Soc. Coop.,2
"C18301707-CNIC,C638974468-CNIC",Medical Financial Cooperative,2
"C283908244-CNIC,C283890369-CNIC",Members' Choice Federal Credit Union,2
"C156967288-CNIC,C156967183-CNIC",Mica DIY Ltd,2
"C18214489-CNIC,C452758721-CNIC",Mid Plains Telephone Cooperative,2
"C28771313-CNIC,C202427665-CNIC",MidSouth Synergy,2
"C127920915-CNIC,C314623491-CNIC",Middle Tennessee Electric Membership Corporation,2
"C364989686-CNIC,C283902099-CNIC",Midwest Energy Cooperative,2
"C18209545-CNIC,C123697731-CNIC",Minnesota Credit Union Network,2
"C283902534-CNIC,C364989276-CNIC",Mobioil FCU IS&T,2
"C283889034-CNIC,C283887989-CNIC",Mohave Electric Coop,2
"C579901583-CNIC,C579901588-CNIC",Montana Cooperative Development Center,2
"C18224137-CNIC,C18224140-CNIC",Montana Health Cooperative,2
"C283906944-CNIC,C18231640-CNIC",Moscow Food Co-op,2
"C18206650-CNIC,C18211867-CNIC",Mother Dairy Fruit & Vegetable Private Limited,2
"C18211006-CNIC,C33546248-CNIC",Mountain Equipment Co op,2
"C18210613-CNIC,C18224149-CNIC",Mouvement Desjardins,2
"C638653093-CNIC,C202570090-CNIC",Mouvement des caisses Desjardins,2
"C540327034-CNIC,C646562104-CNIC",Mundo Cooperativo SH de Palacio Santiago y Tasso Lucas,2
"C18209281-CNIC,C18216343-CNIC",NASA Federal Credit Union,2
"C18209665-CNIC,C18231151-CNIC",NASCO,2
"C30540790-CNIC,C620079913-CNIC",NATIONAL CO-OPERATIVE ORGANISATION OF MALAYSIA,2
"C18206683-CNIC,C288014649-CNIC",NCB,2
"C624912048-CNIC,C624912163-CNIC",NHEC,2
"C283908629-CNIC,C283897099-CNIC",NJ Credit Union League,2
"C46948013-CNIC,C18218830-CNIC",NRCO,2
"C18206680-CNIC,C18207544-CNIC",NRTC,2
"C18213337-CNIC,C18225685-CNIC",National Cooperative Union of India,2
"C18206647-CNIC,C141260552-CNIC",National Dairy Development Board,2
"C210918245-CNIC,C655353429-CNIC",NeedsMap / İhtiyaç Haritası,2
"C332937376-CNIC,C18231379-CNIC",Neighboring Food Co-op Association,2
"C283908314-CNIC,C283907899-CNIC","New Mexico RECA, Inc.",2
"C18211840-CNIC,C639166973-CNIC",New Vision Co op,2
"C588830328-CNIC,C587305958-CNIC",NewB SCE,2
"C18215272-CNIC,C96550319-CNIC",North Arkansas Electric Coop. Inc.,2
"C20538726-CNIC,C300255984-CNIC",North Carolina Electric Membership Corp,2
"C291571224-CNIC,C291571139-CNIC",Northeast Power,2
"C80315379-CNIC,C80315389-CNIC","Northern Lights, Inc.",2
"C327875611-CNIC,C234299624-CNIC",Northwest Cooperative Development Center,2
"C555254498-CNIC,C518242629-CNIC",Not Disclosed,2
"C170773583-CNIC,C529951944-CNIC",Novacitis scrlfs,2
"C364990906-CNIC,C283897849-CNIC",ODEC,2
"C18231964-CNIC,C361126771-CNIC",OPTIVAL,2
"C18224860-CNIC,C18225970-CNIC",ORGA-SOFT Cooperation GmbH,2
"C75373122-CNIC,C86814849-CNIC",Ocean Spray,2
"C272739858-CNIC,C569692173-CNIC",Oficina de Innovacion Civica S.Coop.,2
"C283898414-CNIC,C283901929-CNIC",Ohio Valley Community Credit Union,2
"C615649178-CNIC,C318060596-CNIC",Onion River Cooperative,2
"C206099380-CNIC,C627298043-CNIC",Ontario Co-operative Association,2
"C658409584-CNIC,C658410214-CNIC",Ontario Musicians Co-operative Inc,2
"C223923869-CNIC,C606700138-CNIC",Opcions de Consum Responsable sccl,2
"C18207682-CNIC,C127898036-CNIC","Otsego Electric Cooperative, Inc.",2
"C18226975-CNIC,C525586719-CNIC",Our Table Cooperative,2
"C220317639-CNIC,C282669304-CNIC",OurPower Energiegenossenschaft SCE mbH,2
"C69809985-CNIC,C209769025-CNIC",Oxalis,2
"C18217531-CNIC,C30852830-CNIC",PBC Credit Union,2
"C200889509-CNIC,C585798073-CNIC",PIIP,2
"C283908559-CNIC,C283895929-CNIC",PNWFC,2
"C560553488-CNIC,C561347628-CNIC",Painters Cooperative of New London,2
"C18206959-CNIC,C529674189-CNIC",Palmetto Electric Cooperative,2
"C33131402-CNIC,C510670784-CNIC",Patty Pan Cooperative,2
"C18208222-CNIC,C491766809-CNIC",Paul Bunyan Rural Telephone Cooperative,2
"C18207721-CNIC,C30854847-CNIC",Pedernales Electric Cooperative,2
"C76699358-CNIC,C312823086-CNIC",Peel/Halton Co-operative Housing Federation,2
"C202607460-CNIC,C141627027-CNIC",Peninsula Homecare Cooperative,2
"C130234764-CNIC,C480783464-CNIC",Philippine Cooperative Central Fund Federation,2
"C18211639-CNIC,C172299668-CNIC",Pioneer Valley PhotoVoltaics Cooperative,2
"C83203976-CNIC,C620310653-CNIC",Plains Cotton Cooperative Association,2
"C18230035-CNIC,C18232375-CNIC",Plaza Nederland BV,2
"C348347126-CNIC,C348347131-CNIC",Politics Rewired,2
"C283885624-CNIC,C397079970-CNIC",Poudre Valley REA,2
"C541050334-CNIC,C18218977-CNIC",Precoperativa Preambiental,2
"C283908024-CNIC,C283906704-CNIC","Primera Turf, Inc.",2
"C127556924-CNIC,C215687014-CNIC",Prince George Electric Cooperative,2
"C374866161-CNIC,C375572901-CNIC",Prosper Cooperative,2
"C228361989-CNIC,C151309918-CNIC",Quality Supply Chain Co-op,2
"C654759374-CNIC,C654759459-CNIC",RChain,2
"C18212260-CNIC,C18228658-CNIC",RGV Credit Union,2
"C18209749-CNIC,C202583400-CNIC",Rabobank International,2
"C657994629-CNIC,C657994724-CNIC",Radical Brewing Cooperative,2
"C283907409-CNIC,C283907539-CNIC","Rainbow Grocery Cooperative, Inc.",2
"C283909234-CNIC,C283896604-CNIC","Rappahannock Natural Foods Cooperative, Inc",2
"C38757111-CNIC,C619093468-CNIC",Republique Democratique du Congo,2
"C18223216-CNIC,C408662091-CNIC",Revolver Co-operative Ltd,2
"C516728284-CNIC,C621775323-CNIC",Rising Sand Organics Cooperative Farm,2
"C18207790-CNIC,C283909104-CNIC",Rock Energy Cooperative,2
"C283909594-CNIC,C495295829-CNIC","Rockingham Cooperative Farm Bureau, Inc.",2
"C193465809-CNIC,C252915907-CNIC",Rocky REA,2
"C328649046-CNIC,C328648781-CNIC",SASCCV LA GABARE,2
"C136109718-CNIC,C468810641-CNIC",SCA SALINES DE GUERANDE,2
"C679490768-CNIC,C679490868-CNIC",SCIC Montessori by Nature,2
"C509430069-CNIC,C515377169-CNIC",SCM Smart Coop Management eG,2
"C283893499-CNIC,C283893549-CNIC",SECOM,2
"C177807873-CNIC,C135990042-CNIC",SEIRA Fundacio per a la innovacio i projeccio del cooperativisme,2
"C124339892-CNIC,C123132082-CNIC",SUMA Foods,2
"C262042927-CNIC,C123348811-CNIC",Saint Peter Food Co-op,2
"C522649804-CNIC,C522649799-CNIC",SchoolsFirst Federal Credit Union,2
"C18227881-CNIC,C621732528-CNIC",Scottish Midland Co-operative Society Limited,2
"C18212068-CNIC,C275772189-CNIC",Seacoop Coop Sociale Onlus,2
"C18210904-CNIC,C18211453-CNIC",Seikatsu Club Consumers Cooperative Union,2
"C283908234-CNIC,C131973869-CNIC",Seven Seventeen CU Inc,2
"C18207847-CNIC,C214215144-CNIC",Shelby Electric Cooperative,2
"C22120737-CNIC,C18207850-CNIC","Shenandoah Valley Electric Coop.,In",2
"C225391669-CNIC,C636505528-CNIC",Sicredi,2
"C522246194-CNIC,C522248614-CNIC",SigmoidBell,2
"C274803818-CNIC,C619381958-CNIC",Sioux Honey Association,2
"C18211993-CNIC,C18211996-CNIC",Societe Financiere de La NEF,2
"C208759890-CNIC,C619230303-CNIC",Solidarity Economy Association Ltd.,2
"C18207286-CNIC,C220288344-CNIC",South Central Indiana REMC,2
"C18207853-CNIC,C18230023-CNIC","South Plains Elect. Coop., Inc.",2
"C283890479-CNIC,C146090293-CNIC",Southwest Electric,2
"C18209911-CNIC,C151658933-CNIC",State Employees' Credit Union,2
"C318780406-CNIC,C318780441-CNIC",Stichting Agriterra,2
"C321666561-CNIC,C321666891-CNIC",Store Local Corp.,2
"C196723614-CNIC,C140941248-CNIC",Studio creatif Coloc - coop de travail,2
"C202436095-CNIC,C18220333-CNIC",Suara Sociedad Cooperativa,2
"C210666590-CNIC,C211620119-CNIC",Sugar Cane Growers Cooperative of Florida,2
"C601603518-CNIC,C601601413-CNIC",SuperSigns,2
"C124963246-CNIC,C482292959-CNIC",SurgiQual Institute,2
"C18227005-CNIC,C18227041-CNIC",TERRENA COOPERATIVE AGRICOLE,2
"C119491238-CNIC,C244724284-CNIC",TRISKALIA,2
"C106287898-CNIC,C298319809-CNIC",Tazebaez S.Coop,2
"C18212146-CNIC,C31484536-CNIC",Tennessee Farmers Cooperative,2
"C208139475-CNIC,C211919894-CNIC",The Bradford Co-operative Association,2
