SIC Code,SIC section
60200,Information and Communication
61000,Information and Communication
61100,Information and Communication
61200,Information and Communication
61900,Information and Communication
62000,Information and Communication
62011,
62012,
62020,
62030,
62090,
63000,Information and Communication
63100,Information and Communication
63110,Information and Communication
63120,Information and Communication
63910,Information and Communication
63990,Information and Communication
64000,Financial and Insurance
64100,Financial and Insurance
64191,Financial and Insurance
64205,
64300,Financial and Insurance
64301,
64306,
64900,Financial and Insurance
64921,Financial and Insurance
64929,Financial and Insurance
64999,Financial and Insurance
65000,Financial and Insurance
65100,Financial and Insurance
66190,Financial and Insurance
66300,Financial and Insurance
68000,Real Estate
68100,Real Estate
68200,Real Estate
68201,
68202,
68209,
68320,Real Estate
69000,"Professional, Scientific and Technical"
69100,"Professional, Scientific and Technical"
69102,
69109,
69200,"Professional, Scientific and Technical"
69201,
69202,
70000,"Professional, Scientific and Technical"
70100,"Professional, Scientific and Technical"
70200,"Professional, Scientific and Technical"
70210,"Professional, Scientific and Technical"
70220,"Professional, Scientific and Technical"
70229,"Professional, Scientific and Technical"
71100,"Professional, Scientific and Technical"
71110,"Professional, Scientific and Technical"
71111,"Professional, Scientific and Technical"
71112,"Professional, Scientific and Technical"
71120,"Professional, Scientific and Technical"
71122,"Professional, Scientific and Technical"
71129,"Professional, Scientific and Technical"
72000,"Professional, Scientific and Technical"
72190,"Professional, Scientific and Technical"
72200,"Professional, Scientific and Technical"
73100,"Professional, Scientific and Technical"
73110,"Professional, Scientific and Technical"
73200,"Professional, Scientific and Technical"
74000,"Professional, Scientific and Technical"
74100,"Professional, Scientific and Technical"
74201,
74209,
74300,"Professional, Scientific and Technical"
74900,"Professional, Scientific and Technical"
74901,
74909,
75000,"Professional, Scientific and Technical"
77110,Administrative and Support Services
77210,Administrative and Support Services
77390,Administrative and Support Services
78000,Administrative and Support Services
78100,Administrative and Support Services
78101,
78109,
78300,Administrative and Support Services
79000,Administrative and Support Services
79110,Administrative and Support Services
79120,Administrative and Support Services
79901,
80100,Administrative and Support Services
81100,Administrative and Support Services
81200,Administrative and Support Services
81210,Administrative and Support Services
81229,Administrative and Support Services
81299,Administrative and Support Services
81300,Administrative and Support Services
82000,Administrative and Support Services
82100,Administrative and Support Services
82110,Administrative and Support Services
82190,Administrative and Support Services
82200,Administrative and Support Services
82301,
82302,
82900,Administrative and Support Services
82920,Administrative and Support Services
82990,Administrative and Support Services
84110,Public Administration and Defence
84120,Public Administration and Defence
84240,Public Administration and Defence
85000,Education
85100,Education
85200,Education
85300,Education
85310,Education
85320,Education
85400,Education
85410,Education
85422,Education
85500,Education
85510,Education
85520,Education
85530,Education
85590,Education
85600,Education
86000,Human Health and Social Work
86102,
86210,Human Health and Social Work
86220,Human Health and Social Work
86230,Human Health and Social Work
86900,Human Health and Social Work
87300,Human Health and Social Work
87900,Human Health and Social Work
88000,Human Health and Social Work
88100,Human Health and Social Work
88910,Human Health and Social Work
88990,Human Health and Social Work
90000,"Arts, Entertainment and Recreation"
90010,
90020,
90030,
90040,
91000,"Arts, Entertainment and Recreation"
91011,
91020,
91030,
91040,
93000,"Arts, Entertainment and Recreation"
93100,"Arts, Entertainment and Recreation"
93110,"Arts, Entertainment and Recreation"
93120,"Arts, Entertainment and Recreation"
93130,"Arts, Entertainment and Recreation"
93190,"Arts, Entertainment and Recreation"
93199,"Arts, Entertainment and Recreation"
93200,"Arts, Entertainment and Recreation"
93210,"Arts, Entertainment and Recreation"
93290,"Arts, Entertainment and Recreation"
94000,Other Service Activities
94100,Other Service Activities
94110,Other Service Activities
94120,Other Service Activities
94200,Other Service Activities
94900,Other Service Activities
94920,Other Service Activities
94990,Other Service Activities
95110,Other Service Activities
95290,Other Service Activities
96000,Other Service Activities
96010,
96030,
96040,
96090,
97000,Households as Employers; For Own Use
98000,Households as Employers; For Own Use
98100,Households as Employers; For Own Use
